file,line,class,call_context,text
alrajhi_client/action_handler.py,9,arabic_literal,,\n    كلاس مختلط (mixin) يضيف إجراءات موحدة لأي واجهة تحتوي على جدول.\n    يجب أن تحتوي الواجهة على الخصائص التالية:\n        - self.table (QTableView أو مشتق)\n        - self.model (نموذج الجدول)\n        - self.add_item()   (دالة للإضافة)\n        - self.edit_item()  (دالة للتعديل، تستقبل index)\n        - self.delete_item() (دالة للحذف، تستقبل id)\n        - self.refresh()    (دالة لتحديث البيانات)\n        - self.export_to_excel() (دالة لتصدير Excel)\n        - self.print_table() (دالة لطباع
alrajhi_client/action_handler.py,22,arabic_literal,,يجب استدعاؤها في __init__ بعد إنشاء الجدول
alrajhi_client/action_handler.py,28,arabic_literal,,تثبيت الاختصارات العامة
alrajhi_client/action_handler.py,29,other_literal,QKeySequence,Ctrl+N
alrajhi_client/action_handler.py,31,other_literal,QKeySequence,Ctrl+E
alrajhi_client/action_handler.py,37,other_literal,QKeySequence,Ctrl+P
alrajhi_client/action_handler.py,39,other_literal,QKeySequence,Ctrl+Shift+E
alrajhi_client/action_handler.py,61,arabic_literal,show_toast,الرجاء تحديد صف أولاً
alrajhi_client/action_handler.py,67,arabic_literal,show_toast,الرجاء تحديد صف للحذف
alrajhi_client/action_handler.py,72,likely_ui,question,تأكيد الحذف
alrajhi_client/action_handler.py,72,likely_ui,question,هل تريد حذف '
alrajhi_client/action_handler.py,72,likely_ui,question,'؟
alrajhi_client/action_handler.py,77,arabic_literal,show_toast,تم الحذف
alrajhi_client/action_handler.py,101,likely_ui,QAction,إضافة
alrajhi_client/action_handler.py,105,likely_ui,QAction,تعديل
alrajhi_client/action_handler.py,109,likely_ui,QAction,حذف
alrajhi_client/action_handler.py,118,likely_ui,QAction,طباعة
alrajhi_client/config.py,23,arabic_literal,value,الراجحي للمحاسبة والمستودعات
alrajhi_client/config.py,24,arabic_literal,value,المملكة العربية السعودية - الرياض
alrajhi_client/config.py,25,other_literal,value,+966 12 3456789
alrajhi_client/config.py,26,other_literal,value,info@alrajhi.com
alrajhi_client/currency.py,33,other_literal,,$
alrajhi_client/currency.py,33,other_literal,,﷼
alrajhi_client/currency.py,33,arabic_literal,,ل.س
alrajhi_client/currency.py,33,other_literal,,€
alrajhi_client/currency.py,33,other_literal,,£
alrajhi_client/currency.py,34,arabic_literal,,د.إ
alrajhi_client/currency.py,34,arabic_literal,,ر.ق
alrajhi_client/currency.py,34,arabic_literal,,د.ك
alrajhi_client/currency.py,34,arabic_literal,,ر.ع.
alrajhi_client/currency.py,48,other_literal,value,{}
alrajhi_client/currency.py,50,other_literal,loads,{}
alrajhi_client/currency.py,91,arabic_literal,print,⚠️ تعذر جلب سعر الصرف من الخادم؛ سيتم استخدام آخر سعر محفوظ لـ 
alrajhi_client/currency.py,104,arabic_literal,print,⚠️ تعذر جلب سعر الصرف التاريخي من الخادم؛ سيتم استخدام آخر سعر محفوظ لـ 
alrajhi_client/currency.py,124,arabic_literal,,تحديث سعر الصرف الحالي (يُستخدم من settings_widget.py)
alrajhi_client/currency.py,152,other_literal,,",."
alrajhi_client/currency.py,171,arabic_literal,print,⚠️ تعذر جلب قائمة العملات من الخادم؛ سيتم استخدام الكاش المحلي: 
alrajhi_client/main.py,36,likely_ui,setWindowTitle,ترخيص منتهي
alrajhi_client/main.py,37,likely_ui,setText,انتهت صلاحية الترخيص.\nسيتم إغلاق التطبيق.
alrajhi_client/main.py,43,possible_ui_or_message,,"Start the optional embedded server as a controlled child process.\n\n    Kept as a compatibility wrapper for older calls, but it no longer launches\n    recursively or without lifecycle control.\n    "
alrajhi_client/main.py,49,other_literal,print,✅ 
alrajhi_client/main.py,49,other_literal,print,❌ 
alrajhi_client/main.py,73,arabic_literal,print,⚠️ فشل النسخ الاحتياطي الدوري: 
alrajhi_client/main.py,79,arabic_literal,print,⚠️ النسخ الاحتياطي الدوري معطل في وضع العميل
