name,elapsed_ms,delta_ms,category,detail
app_start,0,0,startup,Application entry point reached
runtime_mode_resolved,8,8,startup,mode=local
prelogin_splash_created,893,885,startup,Branded pre-login splash created
database_bootstrap_started,1045,152,startup,Preparing database and startup services
database_bootstrap_finished,1992,947,startup,Database/bootstrap stage finished
activation_check_started,2055,63,startup,Checking activation/license
activation_check_finished,2202,146,startup,Activation/license check finished
login_dialog_open,2254,51,login,Opening LoginDialog
login_accepted,42982,40728,login,Login accepted; starting post-login transition
post_login_user_context_ready,43164,181,post_login,User session and password policy resolved
main_window_create_started,43171,6,post_login,Constructing MainWindow
main_window_created,45150,1979,post_login,MainWindow constructed
main_window_shown,47459,2308,post_login,MainWindow shown
