file,line,category,language_hint,text
alrajhi_client/action_handler.py,9,ui_candidate,mixed_ar_latin,"كلاس مختلط (mixin) يضيف إجراءات موحدة لأي واجهة تحتوي على جدول.
    يجب أن تحتوي الواجهة على الخصائص التالية:
        - self.table (QTableView أو مشتق)
        - self.model (نموذج الجدول)
        - self.add_item()   (دالة للإضافة)
        -"
alrajhi_client/action_handler.py,22,ui_candidate,mixed_ar_latin,يجب استدعاؤها في __init__ بعد إنشاء الجدول
alrajhi_client/action_handler.py,28,ui_candidate,arabic,تثبيت الاختصارات العامة
alrajhi_client/action_handler.py,72,ui_candidate,arabic,تأكيد الحذف
alrajhi_client/action_handler.py,101,ui_candidate,arabic,إضافة
alrajhi_client/action_handler.py,105,ui_candidate,arabic,تعديل
alrajhi_client/action_handler.py,109,ui_candidate,arabic,حذف
alrajhi_client/action_handler.py,118,ui_candidate,arabic,طباعة
alrajhi_client/action_handler.py,61,ui_candidate,arabic,الرجاء تحديد صف أولاً
alrajhi_client/action_handler.py,67,ui_candidate,arabic,الرجاء تحديد صف للحذف
alrajhi_client/action_handler.py,72,ui_candidate,arabic,هل تريد حذف '
alrajhi_client/action_handler.py,72,ui_candidate,arabic,'؟
alrajhi_client/action_handler.py,77,ui_candidate,arabic,تم الحذف
alrajhi_client/config.py,23,misc_candidate,arabic,الراجحي للمحاسبة والمستودعات
alrajhi_client/config.py,24,misc_candidate,arabic,المملكة العربية السعودية - الرياض
alrajhi_client/currency.py,124,misc_candidate,mixed_ar_latin,تحديث سعر الصرف الحالي (يُستخدم من settings_widget.py)
alrajhi_client/currency.py,33,misc_candidate,arabic,ل.س
alrajhi_client/currency.py,34,misc_candidate,arabic,د.إ
alrajhi_client/currency.py,34,misc_candidate,arabic,ر.ق
alrajhi_client/currency.py,34,misc_candidate,arabic,د.ك
alrajhi_client/currency.py,34,misc_candidate,arabic,ر.ع.
alrajhi_client/currency.py,91,misc_candidate,arabic,⚠️ تعذر جلب سعر الصرف من الخادم؛ سيتم استخدام آخر سعر محفوظ لـ
alrajhi_client/currency.py,104,misc_candidate,arabic,⚠️ تعذر جلب سعر الصرف التاريخي من الخادم؛ سيتم استخدام آخر سعر محفوظ لـ
alrajhi_client/currency.py,171,misc_candidate,arabic,⚠️ تعذر جلب قائمة العملات من الخادم؛ سيتم استخدام الكاش المحلي:
alrajhi_client/main.py,130,ui_candidate,arabic,إعدادات الشبكة
alrajhi_client/main.py,141,ui_candidate,arabic,لا يمكن الاتصال بالخادم الحالي. عدّل وضع التشغيل أو عنوان الخادم هنا. هذه النافذة تستخدم إعدادات محلية فقط ولا تحتاج إلى اتصال بالخادم.
alrajhi_client/main.py,155,ui_candidate,arabic,محلي (بدون شبكة)
alrajhi_client/main.py,156,ui_candidate,arabic,عميل (اتصال بخادم)
alrajhi_client/main.py,157,ui_candidate,arabic,خادم (تشغيل خدمة)
alrajhi_client/main.py,161,ui_candidate,arabic,وضع التشغيل:
alrajhi_client/main.py,164,ui_candidate,mixed_ar_latin,10.98.199.132 أو http://10.98.199.132:8000
alrajhi_client/main.py,165,ui_candidate,arabic,عنوان الخادم:
alrajhi_client/main.py,170,ui_candidate,arabic,منفذ الخادم المحلي:
alrajhi_client/main.py,172,ui_candidate,arabic,تشغيل الخادم المحلي تلقائياً عند بدء التطبيق
alrajhi_client/main.py,178,ui_candidate,arabic,الحالة:
alrajhi_client/main.py,194,ui_candidate,arabic,اختبار الاتصال
alrajhi_client/main.py,306,ui_candidate,arabic,جاري تهيئة قاعدة البيانات...
alrajhi_client/main.py,319,ui_candidate,arabic,التحقق من الترخيص...
alrajhi_client/main.py,335,ui_candidate,arabic,تسجيل الدخول...
alrajhi_client/main.py,354,ui_candidate,arabic,جاري تحميل الواجهة...
alrajhi_client/main.py,36,ui_candidate,arabic,ترخيص منتهي
alrajhi_client/main.py,37,ui_candidate,arabic,"انتهت صلاحية الترخيص.
سيتم إغلاق التطبيق."
alrajhi_client/main.py,79,ui_candidate,arabic,⚠️ النسخ الاحتياطي الدوري معطل في وضع العميل
alrajhi_client/main.py,219,ui_candidate,arabic,تشغيل خادم الراجحي للمحاسبة...
alrajhi_client/main.py,331,ui_candidate,arabic,تم التفعيل...
alrajhi_client/main.py,266,ui_candidate,arabic,تفعيل الشبكة مطلوب
alrajhi_client/main.py,290,ui_candidate,arabic,ℹ️ وضع الخادم مفعل، لكن التشغيل التلقائي للخادم معطل من الإعدادات.
alrajhi_client/main.py,317,ui_candidate,arabic,ℹ️ وضع العميل مفعل. مصدر البيانات:
alrajhi_client/main.py,191,ui_candidate,arabic,العنوان المستخدم:
alrajhi_client/main.py,230,ui_candidate,arabic,✅ الخادم يعمل مسبقاً على المنفذ
alrajhi_client/main.py,236,ui_candidate,arabic,ℹ️ مسار قاعدة بيانات الخادم:
alrajhi_client/main.py,267,ui_candidate,arabic,سيتم تشغيل التطبيق في الوضع المحلي.
alrajhi_client/main.py,285,ui_candidate,arabic,تنبيه الخادم
alrajhi_client/main.py,294,ui_candidate,arabic,خطأ في الاتصال
alrajhi_client/main.py,73,ui_candidate,arabic,⚠️ فشل النسخ الاحتياطي الدوري:
alrajhi_client/main.py,238,ui_candidate,arabic,⚠️ تعذر ضبط مسار قاعدة بيانات الخادم الموحد:
alrajhi_client/main.py,286,ui_candidate,arabic,تعذر تشغيل الخادم المحلي تلقائياً:
alrajhi_client/main.py,286,ui_candidate,arabic,يمكن تشغيله أو إيقافه يدوياً من الإعدادات > الشبكة.
alrajhi_client/main.py,295,ui_candidate,arabic,لا يمكن الاتصال بالخادم المحدد:
alrajhi_client/main.py,295,ui_candidate,arabic,سيتم فتح إعدادات الشبكة لتعديل العنوان.
alrajhi_client/main.py,298,ui_candidate,arabic,تم الحفظ
alrajhi_client/main.py,298,ui_candidate,arabic,سيتم إعادة تشغيل التطبيق لتطبيق الإعدادات.
alrajhi_client/main.py,246,ui_candidate,arabic,✅ الخادم يعمل مسبقاً على المنفذ
alrajhi_client/printer_manager.py,39,misc_candidate,mixed_ar_latin,حفظ كـ PDF
alrajhi_client/printer_manager.py,46,misc_candidate,mixed_ar_latin,حفظ كـ صورة PNG
alrajhi_client/utils.py,148,misc_candidate,arabic,✅ تم تفعيل تحديد النص تلقائياً عند التركيز
alrajhi_client/utils.py,79,misc_candidate,arabic,نجاح
alrajhi_client/utils.py,79,misc_candidate,arabic,تم الحفظ
alrajhi_client/utils.py,79,misc_candidate,arabic,تم
alrajhi_client/brand_assets.py,64,misc_candidate,arabic,الراجحي للمحاسبة والمستودعات
