gateway,has_local,has_remote,abstract_methods,missing_local,missing_remote,accepted_local_only,status
accounting_gateway.py,True,False,,,,True,OK
approval_gateway.py,True,False,"approve_current_step,ensure_advanced_schema,ensure_invoice_request,ensure_schema,ensure_steps_for_request,matrix_for,pending,pending_step,request_status,set_invoice_request_status",,"approve_current_step,ensure_advanced_schema,ensure_invoice_request,ensure_schema,ensure_steps_for_request,matrix_for,pending,pending_step,request_status,set_invoice_request_status",True,OK
audit_gateway.py,True,True,"delete_old_logs,is_remote,list_logs,log",,,False,OK
backup_gateway.py,True,True,"cleanup_old_backups,create_backup,export_database,is_remote,list_backups,reset_database,restore_backup,validate_backup",,,False,OK
branch_gateway.py,True,True,"archive,bootstrap,create,default_branch_id,diagnostics,get,list,set_default,update",,,False,OK
cashbox_gateway.py,True,True,"add_bank_account,add_cashbox,archive_bank_account,archive_cashbox,bank_accounts,bootstrap,cashboxes,close_shift,current_open_shift,default_cashbox_id,delete_reference_movements,get_bank_account,get_cashbox,movements,open_shift,record_movement,shift_summary,shifts,update_bank_account,update_cashbox",,,False,OK
currency_gateway.py,True,True,"get_all_currencies,get_current_rate,get_historical_rate,update_rate",,,False,OK
entity_gateway.py,True,True,"create,delete,get,list,update",,,False,OK
expense_gateway.py,True,True,"create,delete,is_remote,list",,,False,OK
industry_gateway.py,True,True,"get_profile,set_profile",,,False,OK
inventory_gateway.py,True,True,"is_remote,ledger_backfill,ledger_balance,ledger_controlled_read,ledger_dual_read,ledger_entries,ledger_health,ledger_readiness,ledger_reconciliation,ledger_snapshot,movements,record_ledger_entry,record_movement",,,False,OK
invoice_gateway.py,True,True,"create,delete,get,has_linked_returns,has_linked_vouchers,is_remote,list,next_reference,update",,,False,OK
manufacturing_gateway.py,True,True,"can_edit_bom,cancel_production,check_materials_availability,complete_production,consume_material,create_production_order,delete_bom,delete_consumption,delete_output,delete_production_order,get_all_boms,get_all_production_orders,get_bom,get_bom_for_product,get_consumption,get_consumptions,get_output,get_outputs,get_production_order,get_required_materials,get_required_materials_recursive,get_reservations,is_remote,reverse_production_order,save_bom,start_production",,,False,OK
monitoring_gateway.py,True,False,"api_health,is_remote,ledger_health,overview,queue_health,request_log",,"api_health,is_remote,ledger_health,overview,queue_health,request_log",True,OK
offline_queue_gateway.py,True,False,"clear_sent,count_pending,delete,process_pending,recent",,"clear_sent,count_pending,delete,process_pending,recent",True,OK
product_gateway.py,True,True,"activity_summary,add_unit,add_variant,apparel_report,bom_usage,clear_units,create,delete,delete_variant,get,get_by_barcode,get_units,get_variant_by_barcode,get_variants,is_remote,list,restore,sold_quantities,update,update_variant",,,False,OK
purchase_return_gateway.py,True,True,"create_return,delete_return,get,invoice_returnable_lines,is_remote,list_returns,next_return_no,purchase_invoices,returned_qty,update_return",,,False,OK
