event_key,audit_scope,category,action,action_code,entity_type,permission_key,api_resource,source_contract,network_mode,branch_scoped,required,severity,details
document.sales_invoice.view,transactions.sales_invoice,document,view,VIEW,sales_invoice,sales_invoices.view,/api/invoices,document_shell,remote_available,True,True,info,
document.sales_invoice.save,transactions.sales_invoice,document,save,SAVE,sales_invoice,sales_invoices.update,/api/invoices,document_shell,remote_available,True,True,info,
document.sales_invoice.delete,transactions.sales_invoice,document,delete,DELETE,sales_invoice,sales_invoices.delete,/api/invoices,document_shell,remote_available,True,True,critical,
document.sales_invoice.print,transactions.sales_invoice,document,print,PRINT,sales_invoice,sales_invoices.print,/api/invoices,document_shell,remote_available,True,True,info,
document.sales_invoice.export,transactions.sales_invoice,document,export,EXPORT,sales_invoice,sales_invoices.export,/api/invoices,document_shell,remote_available,True,True,info,
document.sales_invoice.approve,transactions.sales_invoice,document,approve,APPROVE,sales_invoice,sales_invoices.approve,/api/invoices,document_shell,remote_available,True,True,critical,
document.sales_invoice.cancel,transactions.sales_invoice,document,cancel,CANCEL,sales_invoice,sales_invoices.cancel,/api/invoices,document_shell,remote_available,True,True,critical,
document.purchase_invoice.view,transactions.purchase_invoice,document,view,VIEW,purchase_invoice,purchase_invoices.view,/api/invoices,document_shell,remote_available,True,True,info,
document.purchase_invoice.save,transactions.purchase_invoice,document,save,SAVE,purchase_invoice,purchase_invoices.update,/api/invoices,document_shell,remote_available,True,True,info,
document.purchase_invoice.delete,transactions.purchase_invoice,document,delete,DELETE,purchase_invoice,purchase_invoices.delete,/api/invoices,document_shell,remote_available,True,True,critical,
document.purchase_invoice.print,transactions.purchase_invoice,document,print,PRINT,purchase_invoice,purchase_invoices.print,/api/invoices,document_shell,remote_available,True,True,info,
document.purchase_invoice.export,transactions.purchase_invoice,document,export,EXPORT,purchase_invoice,purchase_invoices.export,/api/invoices,document_shell,remote_available,True,True,info,
document.purchase_invoice.approve,transactions.purchase_invoice,document,approve,APPROVE,purchase_invoice,purchase_invoices.approve,/api/invoices,document_shell,remote_available,True,True,critical,
document.purchase_invoice.cancel,transactions.purchase_invoice,document,cancel,CANCEL,purchase_invoice,purchase_invoices.cancel,/api/invoices,document_shell,remote_available,True,True,critical,
document.sales_return.view,transactions.sales_return,document,view,VIEW,sales_return,sales_returns.view,/api/returns/sales,document_shell,remote_required,True,True,info,
document.sales_return.save,transactions.sales_return,document,save,SAVE,sales_return,sales_returns.update,/api/returns/sales,document_shell,remote_required,True,True,info,
document.sales_return.delete,transactions.sales_return,document,delete,DELETE,sales_return,sales_returns.delete,/api/returns/sales,document_shell,remote_required,True,True,critical,
document.sales_return.print,transactions.sales_return,document,print,PRINT,sales_return,sales_returns.print,/api/returns/sales,document_shell,remote_required,True,True,info,
document.sales_return.export,transactions.sales_return,document,export,EXPORT,sales_return,sales_returns.export,/api/returns/sales,document_shell,remote_required,True,True,info,
document.sales_return.approve,transactions.sales_return,document,approve,APPROVE,sales_return,sales_returns.approve,/api/returns/sales,document_shell,remote_required,True,True,critical,
document.sales_return.cancel,transactions.sales_return,document,cancel,CANCEL,sales_return,sales_returns.cancel,/api/returns/sales,document_shell,remote_required,True,True,critical,
document.purchase_return.view,transactions.purchase_return,document,view,VIEW,purchase_return,purchase_returns.view,/api/returns/purchase,document_shell,remote_required,True,True,info,
document.purchase_return.save,transactions.purchase_return,document,save,SAVE,purchase_return,purchase_returns.update,/api/returns/purchase,document_shell,remote_required,True,True,info,
document.purchase_return.delete,transactions.purchase_return,document,delete,DELETE,purchase_return,purchase_returns.delete,/api/returns/purchase,document_shell,remote_required,True,True,critical,
document.purchase_return.print,transactions.purchase_return,document,print,PRINT,purchase_return,purchase_returns.print,/api/returns/purchase,document_shell,remote_required,True,True,info,
document.purchase_return.export,transactions.purchase_return,document,export,EXPORT,purchase_return,purchase_returns.export,/api/returns/purchase,document_shell,remote_required,True,True,info,
document.purchase_return.approve,transactions.purchase_return,document,approve,APPROVE,purchase_return,purchase_returns.approve,/api/returns/purchase,document_shell,remote_required,True,True,critical,
document.purchase_return.cancel,transactions.purchase_return,document,cancel,CANCEL,purchase_return,purchase_returns.cancel,/api/returns/purchase,document_shell,remote_required,True,True,critical,
document.material.view,materials,document,view,VIEW,material,items.view,/api/items,document_shell,remote_available,False,True,info,
document.material.save,materials,document,save,SAVE,material,items.update,/api/items,document_shell,remote_available,False,True,info,
document.material.delete,materials,document,delete,DELETE,material,items.delete,/api/items,document_shell,remote_available,False,True,critical,
document.material.print,materials,document,print,PRINT,material,items.print,/api/items,document_shell,remote_available,False,True,info,
document.material.export,materials,document,export,EXPORT,material,items.export,/api/items,document_shell,remote_available,False,True,info,
document.category.view,categories,document,view,VIEW,category,categories.view,/api/categories,document_shell,mixed,False,True,info,
document.category.save,categories,document,save,SAVE,category,categories.update,/api/categories,document_shell,mixed,False,True,info,
document.category.delete,categories,document,delete,DELETE,category,categories.delete,/api/categories,document_shell,mixed,False,True,critical,
document.customer.view,parties.customer,document,view,VIEW,customer,customers.view,/api/customers,document_shell,remote_available,False,True,info,
document.customer.save,parties.customer,document,save,SAVE,customer,customers.update,/api/customers,document_shell,remote_available,False,True,info,
document.customer.delete,parties.customer,document,delete,DELETE,customer,customers.delete,/api/customers,document_shell,remote_available,False,True,critical,
document.customer.print,parties.customer,document,print,PRINT,customer,customers.print,/api/customers,document_shell,remote_available,False,True,info,
document.customer.export,parties.customer,document,export,EXPORT,customer,customers.export,/api/customers,document_shell,remote_available,False,True,info,
document.supplier.view,parties.supplier,document,view,VIEW,supplier,suppliers.view,/api/suppliers,document_shell,remote_available,False,True,info,
document.supplier.save,parties.supplier,document,save,SAVE,supplier,suppliers.update,/api/suppliers,document_shell,remote_available,False,True,info,
document.supplier.delete,parties.supplier,document,delete,DELETE,supplier,suppliers.delete,/api/suppliers,document_shell,remote_available,False,True,critical,
document.supplier.print,parties.supplier,document,print,PRINT,supplier,suppliers.print,/api/suppliers,document_shell,remote_available,False,True,info,
document.supplier.export,parties.supplier,document,export,EXPORT,supplier,suppliers.export,/api/suppliers,document_shell,remote_available,False,True,info,
document.voucher.view,finance.voucher,document,view,VIEW,voucher,vouchers.view,/api/vouchers,document_shell,remote_available,False,True,info,
document.voucher.save,finance.voucher,document,save,SAVE,voucher,vouchers.update,/api/vouchers,document_shell,remote_available,False,True,info,
document.voucher.delete,finance.voucher,document,delete,DELETE,voucher,vouchers.delete,/api/vouchers,document_shell,remote_available,False,True,critical,
document.voucher.print,finance.voucher,document,print,PRINT,voucher,vouchers.print,/api/vouchers,document_shell,remote_available,False,True,info,
document.voucher.export,finance.voucher,document,export,EXPORT,voucher,vouchers.export,/api/vouchers,document_shell,remote_available,False,True,info,
document.voucher.approve,finance.voucher,document,approve,APPROVE,voucher,vouchers.approve,/api/vouchers,document_shell,remote_available,False,True,critical,
document.voucher.cancel,finance.voucher,document,cancel,CANCEL,voucher,vouchers.cancel,/api/vouchers,document_shell,remote_available,False,True,critical,
document.expense.view,finance.expense,document,view,VIEW,expense,expenses.view,/api/expenses,document_shell,remote_available,False,True,info,
document.expense.save,finance.expense,document,save,SAVE,expense,expenses.update,/api/expenses,document_shell,remote_available,False,True,info,
document.expense.delete,finance.expense,document,delete,DELETE,expense,expenses.delete,/api/expenses,document_shell,remote_available,False,True,critical,
document.expense.print,finance.expense,document,print,PRINT,expense,expenses.print,/api/expenses,document_shell,remote_available,False,True,info,
document.expense.export,finance.expense,document,export,EXPORT,expense,expenses.export,/api/expenses,document_shell,remote_available,False,True,info,
