check,category,path,needle,status
phase409_contract,acceptance,alrajhi_client/workspace/quality/basit_final_acceptance_contract.py,BASIT_FINAL_ACCEPTANCE_CONTRACT,OK
phase409_doc,acceptance,PHASE409_BASIT_FINAL_ACCEPTANCE_AUDIT.md,Phase409,OK
phase409_test,acceptance,tests/test_phase409_basit_final_acceptance_audit.py,test_basit_final_acceptance,OK
phase409_tool,acceptance,tools/phase409_basit_final_acceptance_audit.py,basit_final_acceptance_matrix.csv,OK
phase401_contract,contracts,alrajhi_client/workspace/quality/basit_visual_system_contract.py,BASIT_VISUAL_SYSTEM_CONTRACT,OK
phase402_contract,contracts,alrajhi_client/workspace/quality/basit_dashboard_surface_contract.py,BASIT_DASHBOARD_SURFACE_CONTRACT,OK
phase403_contract,contracts,alrajhi_client/workspace/quality/basit_transaction_surface_contract.py,BASIT_TRANSACTION_SURFACE_CONTRACT,OK
phase404_contract,contracts,alrajhi_client/workspace/quality/basit_management_surface_contract.py,BASIT_MANAGEMENT_SURFACE_CONTRACT,OK
phase405_contract,contracts,alrajhi_client/workspace/quality/basit_reports_settings_surface_contract.py,BASIT_REPORTS_SETTINGS_SURFACE_CONTRACT,OK
phase406_contract,contracts,alrajhi_client/workspace/quality/basit_shell_chrome_contract.py,BASIT_SHELL_CHROME_CONTRACT,OK
phase407_contract,contracts,alrajhi_client/workspace/quality/basit_startup_dialogs_surface_contract.py,BASIT_STARTUP_DIALOGS_SURFACE_CONTRACT,OK
phase408_contract,contracts,alrajhi_client/workspace/quality/basit_printing_surface_contract.py,BASIT_PRINTING_SURFACE_CONTRACT,OK
palette_blue,theme,alrajhi_client/theme/brand.py,BASIT_BLUE = '#0076D7',OK
palette_yellow,theme,alrajhi_client/theme/brand.py,BASIT_YELLOW = '#F2D21B',OK
palette_red,theme,alrajhi_client/theme/brand.py,BASIT_RED = '#D93600',OK
metrics,theme,alrajhi_client/theme/brand.py,basit_toolbar_height,OK
qss_phase401,qss,alrajhi_client/theme/qss.py,Phase401: Basit inspired operational skin,OK
qss_phase403,qss,alrajhi_client/theme/qss.py,Phase403: Basit-inspired invoices and returns,OK
qss_phase404,qss,alrajhi_client/theme/qss.py,Phase404: Basit-inspired management/list workspaces,OK
qss_phase405,qss,alrajhi_client/theme/qss.py,Phase405: Basit-inspired reports and settings surfaces,OK
qss_phase406,qss,alrajhi_client/theme/qss.py,Phase406: Basit-inspired shell chrome fallback,OK
qss_phase407,qss,alrajhi_client/theme/qss.py,"Phase407: Basit-inspired startup, login, activation and dialogs",OK
restaurant_root,runtime,alrajhi_client/views/restaurant/restaurant_simple_pos_widget.py,basitInspired,OK
dashboard_root,runtime,alrajhi_client/views/widgets/dashboard_widget.py,basitInspired,OK
transaction_root,runtime,alrajhi_client/features/transactions/transaction_document_tab.py,basitTransactionDocument,OK
transaction_grid,runtime,alrajhi_client/features/transactions/transaction_document_tab.py,basitTransactionGrid,OK
management_base,runtime,alrajhi_client/views/widgets/base_widget.py,basitManagementWorkspace,OK
management_table,runtime,alrajhi_client/views/widgets/base_widget.py,basitManagementTable,OK
