check,path,needle,status
contract,alrajhi_client/workspace/quality/basit_startup_dialogs_surface_contract.py,BASIT_STARTUP_DIALOGS_SURFACE_CONTRACT,OK
qss_phase,alrajhi_client/theme/qss.py,Phase407: Basit-inspired startup,OK
qss_startup,alrajhi_client/theme/qss.py,"QFrame#startupCard[basitStartupSurface=""true""]",OK
qss_login,alrajhi_client/theme/qss.py,"QFrame#loginCard[basitFirstRunChrome=""true""]",OK
qss_activation,alrajhi_client/theme/qss.py,"QFrame#activationCard[basitFirstRunChrome=""true""]",OK
qss_dialog,alrajhi_client/theme/qss.py,"QDialog[basitDialogSurface=""true""] QFrame#BrandDialogHeader",OK
qss_primary,alrajhi_client/theme/qss.py,"QDialog[basitDialogSurface=""true""] QPushButton[dialogActionRole=""primary""]",OK
splash_marker,alrajhi_client/views/splash_screen.py,basitStartupSurface,OK
splash_chip_marker,alrajhi_client/views/splash_screen.py,firstRunStageChip,OK
login_marker,alrajhi_client/views/dialogs/login_dialog.py,basitFirstRunChrome,OK
login_primary,alrajhi_client/views/dialogs/login_dialog.py,basitPrimaryAction,OK
activation_marker,alrajhi_client/views/dialogs/activation_dialog.py,basitFirstRunChrome,OK
module_apply_brand,alrajhi_client/views/dialogs/module_activation_dialog.py,"apply_branded_dialog(self, self.windowTitle(), role='module_activation')",OK
module_message,alrajhi_client/views/dialogs/module_activation_dialog.py,brand_message_box,OK
dialog_branding,alrajhi_client/ui/dialog_branding.py,"dialog.setProperty(""basitDialogSurface"", True)",OK
message_branding,alrajhi_client/ui/dialog_branding.py,"box.setProperty(""basitDialogSurface"", True)",OK
frameless_base,alrajhi_client/views/frameless_dialog.py,basitDialogSurface,OK
