code,area,title,path,ok,detail
functional_policy_exists,lifecycle,Function-aware close policy module exists,alrajhi_client/workspace/shell/functional_close_policy.py,True,
functional_policy_delegates_to_tab_lifecycle,lifecycle,Function close policy delegates to close_owning_workspace_tab/close_tab_at,alrajhi_client/workspace/shell/functional_close_policy.py,True,
base_document_uses_function_policy,documents,BaseDocumentTab request_workspace_close uses function-aware policy,alrajhi_client/workspace/documents/base_document_tab.py,True,
dialog_document_binds_embedded_close_controls,dialog_documents,Hosted legacy dialog Close/Cancel buttons are rebound to request_workspace_close,alrajhi_client/features/dialog_documents/dialog_document_tab.py,True,
transactions_transaction_document_tab_uses_workspace_close,transactions,alrajhi_client/features/transactions/transaction_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/transactions/transaction_document_tab.py,True,
transactions_transaction_document_tab_no_raw_inner_close_in_close_handler,transactions,alrajhi_client/features/transactions/transaction_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/transactions/transaction_document_tab.py,True,
returns_return_editor_tabs_uses_workspace_close,returns,alrajhi_client/features/returns/return_editor_tabs.py routes internal close through request_workspace_close,alrajhi_client/features/returns/return_editor_tabs.py,True,
returns_return_editor_tabs_no_raw_inner_close_in_close_handler,returns,alrajhi_client/features/returns/return_editor_tabs.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/returns/return_editor_tabs.py,True,
materials_item_editor_tab_uses_workspace_close,materials,alrajhi_client/features/items/item_editor_tab.py routes internal close through request_workspace_close,alrajhi_client/features/items/item_editor_tab.py,True,
materials_item_editor_tab_no_raw_inner_close_in_close_handler,materials,alrajhi_client/features/items/item_editor_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/items/item_editor_tab.py,True,
inventory_inventory_transfer_document_tab_uses_workspace_close,inventory,alrajhi_client/features/inventory/documents/inventory_transfer_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/inventory/documents/inventory_transfer_document_tab.py,True,
inventory_inventory_transfer_document_tab_no_raw_inner_close_in_close_handler,inventory,alrajhi_client/features/inventory/documents/inventory_transfer_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/inventory/documents/inventory_transfer_document_tab.py,True,
inventory_warehouse_document_tab_uses_workspace_close,inventory,alrajhi_client/features/inventory/documents/warehouse_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/inventory/documents/warehouse_document_tab.py,True,
inventory_warehouse_document_tab_no_raw_inner_close_in_close_handler,inventory,alrajhi_client/features/inventory/documents/warehouse_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/inventory/documents/warehouse_document_tab.py,True,
finance_cashbox_document_tab_uses_workspace_close,finance,alrajhi_client/features/finance/documents/cashbox_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/finance/documents/cashbox_document_tab.py,True,
finance_cashbox_document_tab_no_raw_inner_close_in_close_handler,finance,alrajhi_client/features/finance/documents/cashbox_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/finance/documents/cashbox_document_tab.py,True,
finance_bank_account_document_tab_uses_workspace_close,finance,alrajhi_client/features/finance/documents/bank_account_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/finance/documents/bank_account_document_tab.py,True,
