key,category,path,status,detail
exists::PHASE424_GOLDEN_DATASET_RUNTIME_REPLAY_BRIDGE.md,file,PHASE424_GOLDEN_DATASET_RUNTIME_REPLAY_BRIDGE.md,OK,required Phase424 file exists
exists::alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,file,alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,OK,required Phase424 file exists
exists::alrajhi_client/workspace/quality/golden_dataset_runtime_replay.py,file,alrajhi_client/workspace/quality/golden_dataset_runtime_replay.py,OK,required Phase424 file exists
exists::tools/phase424_golden_dataset_runtime_replay_guard.py,file,tools/phase424_golden_dataset_runtime_replay_guard.py,OK,required Phase424 file exists
exists::tests/test_phase424_golden_dataset_runtime_replay.py,file,tests/test_phase424_golden_dataset_runtime_replay.py,OK,required Phase424 file exists
ast::alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,syntax,alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,OK,source parses
ast::alrajhi_client/workspace/quality/golden_dataset_runtime_replay.py,syntax,alrajhi_client/workspace/quality/golden_dataset_runtime_replay.py,OK,source parses
ast::tools/phase424_golden_dataset_runtime_replay_guard.py,syntax,tools/phase424_golden_dataset_runtime_replay_guard.py,OK,source parses
contract_phase,contract,alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,OK,Phase424 contract is declared
contract_source_phase,contract,alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,OK,Phase424 consumes Phase423 golden dataset
contract_bridge_layers,contract,alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,OK,bridge layers are declared
contract_backlog_explicit,contract,alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,OK,runtime adapter backlog is explicit
contract_output_files,contract,alrajhi_client/workspace/quality/golden_dataset_runtime_replay_contract.py,OK,machine-readable outputs are declared
operation_stream_count,replay,alrajhi_client/workspace/quality/golden_dataset_runtime_replay.py,OK,operation stream has canonical golden operation count
operation_stream_idempotency,replay,alrajhi_client/workspace/quality/golden_dataset_runtime_replay.py,OK,operation stream exposes idempotency keys
operation_stream_branch_scope,replay,alrajhi_client/workspace/quality/golden_dataset_runtime_replay.py,OK,operation stream carries branch scope
