key,category,path,status,detail
exists::PHASE423_GOLDEN_DATASET_ACCOUNTING_INVENTORY_SCENARIO_PACK.md,file,PHASE423_GOLDEN_DATASET_ACCOUNTING_INVENTORY_SCENARIO_PACK.md,OK,required Phase423 file exists
exists::alrajhi_client/workspace/quality/golden_dataset_scenarios_contract.py,file,alrajhi_client/workspace/quality/golden_dataset_scenarios_contract.py,OK,required Phase423 file exists
exists::alrajhi_client/workspace/quality/golden_dataset_scenarios.py,file,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,required Phase423 file exists
exists::tools/phase423_golden_dataset_scenarios_guard.py,file,tools/phase423_golden_dataset_scenarios_guard.py,OK,required Phase423 file exists
exists::tests/test_phase423_golden_dataset_scenarios.py,file,tests/test_phase423_golden_dataset_scenarios.py,OK,required Phase423 file exists
ast::alrajhi_client/workspace/quality/golden_dataset_scenarios_contract.py,syntax,alrajhi_client/workspace/quality/golden_dataset_scenarios_contract.py,OK,source parses
ast::alrajhi_client/workspace/quality/golden_dataset_scenarios.py,syntax,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,source parses
ast::tools/phase423_golden_dataset_scenarios_guard.py,syntax,tools/phase423_golden_dataset_scenarios_guard.py,OK,source parses
contract_phase,contract,alrajhi_client/workspace/quality/golden_dataset_scenarios_contract.py,OK,Phase423 contract is declared
contract_currency,contract,alrajhi_client/workspace/quality/golden_dataset_scenarios_contract.py,OK,golden currency is explicit
contract_scenario_groups,contract,alrajhi_client/workspace/quality/golden_dataset_scenarios_contract.py,OK,critical scenario groups are declared
contract_invariants,contract,alrajhi_client/workspace/quality/golden_dataset_scenarios_contract.py,OK,critical invariants are declared
scenario_operation_count,scenario,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,canonical operations cover business day
scenario_failure_count,scenario,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,golden arithmetic has no invariant failures
scenario_gross_profit,scenario,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,gross profit is stable
scenario_operation_ids_unique,scenario,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,operation ids are unique
scenario_every_stock_op_branch_scoped,scenario,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,every operation carries branch scope
scenario_group::master_data,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,required scenario group is present
scenario_group::opening_balances,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,required scenario group is present
scenario_group::purchase_invoice,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,required scenario group is present
