key,category,path,status,detail
exists::PHASE422_I18N_RTL_QUALITY_GATE.md,file,PHASE422_I18N_RTL_QUALITY_GATE.md,OK,required Phase422 file exists
exists::alrajhi_client/workspace/quality/i18n_rtl_quality_contract.py,file,alrajhi_client/workspace/quality/i18n_rtl_quality_contract.py,OK,required Phase422 file exists
exists::alrajhi_client/workspace/quality/i18n_rtl_quality_audit.py,file,alrajhi_client/workspace/quality/i18n_rtl_quality_audit.py,OK,required Phase422 file exists
exists::alrajhi_client/i18n/translator.py,file,alrajhi_client/i18n/translator.py,OK,required Phase422 file exists
exists::alrajhi_client/ui/table_direction_policy.py,file,alrajhi_client/ui/table_direction_policy.py,OK,required Phase422 file exists
exists::alrajhi_client/views/main_window.py,file,alrajhi_client/views/main_window.py,OK,required Phase422 file exists
exists::alrajhi_client/views/widgets/settings_widget.py,file,alrajhi_client/views/widgets/settings_widget.py,OK,required Phase422 file exists
exists::alrajhi_client/workspace/runtime/runtime_acceptance_harness.py,file,alrajhi_client/workspace/runtime/runtime_acceptance_harness.py,OK,required Phase422 file exists
exists::tools/phase422_i18n_rtl_quality_guard.py,file,tools/phase422_i18n_rtl_quality_guard.py,OK,required Phase422 file exists
exists::tests/test_phase422_i18n_rtl_quality.py,file,tests/test_phase422_i18n_rtl_quality.py,OK,required Phase422 file exists
ast::alrajhi_client/workspace/quality/i18n_rtl_quality_contract.py,syntax,alrajhi_client/workspace/quality/i18n_rtl_quality_contract.py,OK,source parses
ast::alrajhi_client/workspace/quality/i18n_rtl_quality_audit.py,syntax,alrajhi_client/workspace/quality/i18n_rtl_quality_audit.py,OK,source parses
ast::alrajhi_client/i18n/translator.py,syntax,alrajhi_client/i18n/translator.py,OK,source parses
ast::alrajhi_client/ui/table_direction_policy.py,syntax,alrajhi_client/ui/table_direction_policy.py,OK,source parses
ast::tools/phase422_i18n_rtl_quality_guard.py,syntax,tools/phase422_i18n_rtl_quality_guard.py,OK,source parses
contract_phase,contract,alrajhi_client/workspace/quality/i18n_rtl_quality_contract.py,OK,Phase422 contract is declared
contract_supported_languages,contract,alrajhi_client/workspace/quality/i18n_rtl_quality_contract.py,OK,supported language set is explicit
contract_critical_keys,contract,alrajhi_client/workspace/quality/i18n_rtl_quality_contract.py,OK,critical UI/print/runtime keys are explicit
contract_runtime_invariants,contract,alrajhi_client/workspace/quality/i18n_rtl_quality_contract.py,OK,runtime direction invariants are explicit
supported_languages_exact,registry,alrajhi_client/i18n/translator.py,OK,"supported=('ar', 'de', 'en', 'fr')"
direction::ar,direction,alrajhi_client/i18n/translator.py,OK,ar direction is rtl
direction::de,direction,alrajhi_client/i18n/translator.py,OK,de direction is ltr
direction::en,direction,alrajhi_client/i18n/translator.py,OK,en direction is ltr
direction::fr,direction,alrajhi_client/i18n/translator.py,OK,fr direction is ltr
settings_language_choices_cover_all_supported_languages,settings,alrajhi_client/features/settings/settings_document_tabs.py,OK,UI/report/print language choices include ar/en/de/fr
settings_applies_table_direction_tree,runtime,alrajhi_client/views/widgets/settings_widget.py,OK,settings language switch propagates table direction
main_window_applies_table_direction_tree,runtime,alrajhi_client/views/main_window.py,OK,main window applies table direction after language load
main_menu_bar_runtime_direction,runtime,alrajhi_client/views/main_window.py,OK,top menu bar receives active language direction
table_policy_sets_viewport_and_headers,runtime,alrajhi_client/ui/table_direction_policy.py,OK,table policy updates viewport and headers
phase416_captures_ar_de_shell_snapshots,runtime,alrajhi_client/workspace/runtime/runtime_acceptance_harness.py,OK,runtime harness captures Arabic RTL and German LTR shell snapshots
critical::app_title::ar,translation,alrajhi_client/i18n/translator.py,OK,app_title/ar has a non-key translation
placeholders::app_title::ar,placeholder,alrajhi_client/i18n/translator.py,OK,app_title/ar placeholders match Arabic source
critical::app_title::de,translation,alrajhi_client/i18n/translator.py,OK,app_title/de has a non-key translation
placeholders::app_title::de,placeholder,alrajhi_client/i18n/translator.py,OK,app_title/de placeholders match Arabic source
critical::app_title::en,translation,alrajhi_client/i18n/translator.py,OK,app_title/en has a non-key translation
placeholders::app_title::en,placeholder,alrajhi_client/i18n/translator.py,OK,app_title/en placeholders match Arabic source
critical::app_title::fr,translation,alrajhi_client/i18n/translator.py,OK,app_title/fr has a non-key translation
placeholders::app_title::fr,placeholder,alrajhi_client/i18n/translator.py,OK,app_title/fr placeholders match Arabic source
translate_api::app_title::ar,api,alrajhi_client/i18n/translator.py,OK,translate('app_title') returns translated text in ar
translate_api::app_title::de,api,alrajhi_client/i18n/translator.py,OK,translate('app_title') returns translated text in de
translate_api::app_title::en,api,alrajhi_client/i18n/translator.py,OK,translate('app_title') returns translated text in en
translate_api::app_title::fr,api,alrajhi_client/i18n/translator.py,OK,translate('app_title') returns translated text in fr
critical::nav_home::ar,translation,alrajhi_client/i18n/translator.py,OK,nav_home/ar has a non-key translation
placeholders::nav_home::ar,placeholder,alrajhi_client/i18n/translator.py,OK,nav_home/ar placeholders match Arabic source
critical::nav_home::de,translation,alrajhi_client/i18n/translator.py,OK,nav_home/de has a non-key translation
placeholders::nav_home::de,placeholder,alrajhi_client/i18n/translator.py,OK,nav_home/de placeholders match Arabic source
critical::nav_home::en,translation,alrajhi_client/i18n/translator.py,OK,nav_home/en has a non-key translation
placeholders::nav_home::en,placeholder,alrajhi_client/i18n/translator.py,OK,nav_home/en placeholders match Arabic source
critical::nav_home::fr,translation,alrajhi_client/i18n/translator.py,OK,nav_home/fr has a non-key translation
placeholders::nav_home::fr,placeholder,alrajhi_client/i18n/translator.py,OK,nav_home/fr placeholders match Arabic source
translate_api::nav_home::ar,api,alrajhi_client/i18n/translator.py,OK,translate('nav_home') returns translated text in ar
translate_api::nav_home::de,api,alrajhi_client/i18n/translator.py,OK,translate('nav_home') returns translated text in de
translate_api::nav_home::en,api,alrajhi_client/i18n/translator.py,OK,translate('nav_home') returns translated text in en
translate_api::nav_home::fr,api,alrajhi_client/i18n/translator.py,OK,translate('nav_home') returns translated text in fr
critical::nav_sales::ar,translation,alrajhi_client/i18n/translator.py,OK,nav_sales/ar has a non-key translation
placeholders::nav_sales::ar,placeholder,alrajhi_client/i18n/translator.py,OK,nav_sales/ar placeholders match Arabic source
critical::nav_sales::de,translation,alrajhi_client/i18n/translator.py,OK,nav_sales/de has a non-key translation
placeholders::nav_sales::de,placeholder,alrajhi_client/i18n/translator.py,OK,nav_sales/de placeholders match Arabic source
critical::nav_sales::en,translation,alrajhi_client/i18n/translator.py,OK,nav_sales/en has a non-key translation
placeholders::nav_sales::en,placeholder,alrajhi_client/i18n/translator.py,OK,nav_sales/en placeholders match Arabic source
critical::nav_sales::fr,translation,alrajhi_client/i18n/translator.py,OK,nav_sales/fr has a non-key translation
placeholders::nav_sales::fr,placeholder,alrajhi_client/i18n/translator.py,OK,nav_sales/fr placeholders match Arabic source
translate_api::nav_sales::ar,api,alrajhi_client/i18n/translator.py,OK,translate('nav_sales') returns translated text in ar
translate_api::nav_sales::de,api,alrajhi_client/i18n/translator.py,OK,translate('nav_sales') returns translated text in de
translate_api::nav_sales::en,api,alrajhi_client/i18n/translator.py,OK,translate('nav_sales') returns translated text in en
translate_api::nav_sales::fr,api,alrajhi_client/i18n/translator.py,OK,translate('nav_sales') returns translated text in fr
critical::nav_purchases::ar,translation,alrajhi_client/i18n/translator.py,OK,nav_purchases/ar has a non-key translation
placeholders::nav_purchases::ar,placeholder,alrajhi_client/i18n/translator.py,OK,nav_purchases/ar placeholders match Arabic source
critical::nav_purchases::de,translation,alrajhi_client/i18n/translator.py,OK,nav_purchases/de has a non-key translation
