list_key,document_type,widget_class,workspace_route,open_route,api_resource,network_mode,table_identity,filters,columns,currency_policy,branch_policy,can_print,can_export,can_delete
sales_invoices,sales_invoice,views.widgets.invoices_widget.SalesInvoicesWidget,sales_invoices,open_quick_invoice('sale'),/api/invoices,remote_available,transactions.sales_invoices.list,"date_from,date_to,status,customer,branch","reference,invoice_total,customer,received,remaining,workflow_status,date,notes",document_currency,required,True,True,True
purchase_invoices,purchase_invoice,views.widgets.invoices_widget.PurchaseInvoicesWidget,purchase_invoices,open_quick_invoice('purchase'),/api/invoices,remote_available,transactions.purchase_invoices.list,"date_from,date_to,status,supplier,branch","reference,invoice_total,supplier,paid,remaining,workflow_status,date,notes",document_currency,required,True,True,True
sales_returns,sales_return,views.widgets.returns_widget.ReturnsWidget,returns,open_return_document('sale'),/api/returns/sales,remote_required,transactions.sales_returns.list,"date_from,date_to,customer,branch","reference,return_total,customer,received,remaining,workflow_status,date,notes",document_currency,required,True,True,True
purchase_returns,purchase_return,views.widgets.returns_widget.PurchaseReturnsWidget,purchase_returns,open_return_document('purchase'),/api/returns/purchase,remote_required,transactions.purchase_returns.list,"date_from,date_to,supplier,branch","reference,return_total,supplier,paid,remaining,workflow_status,date,notes",document_currency,required,True,True,True
materials,material,views.widgets.items_widget.ItemsWidget,items,open_item_document(item_id=...) / open_item_document(),/api/items,remote_available,materials.workspace.items_grid,"category,item_type,stock_status,preset,density","barcode,name,category_name,item_type,sale_price,purchase_price,stock,unit_name",display_currency,optional,True,True,True
categories,category,views.widgets.categories_widget.CategoriesWidget,categories,category document/editor,/api/categories,mixed,categories.list,"parent,status","path,parent,items_count,child_categories,status,description",none,none,False,False,True
customers,customer,views.widgets.customers_widget.CustomersWidget,customers,open_party_document('customer'),/api/customers,remote_available,customers.list,balance_status,"name,phone,address,balance",display_currency,optional,False,True,False
suppliers,supplier,views.widgets.suppliers_widget.SuppliersWidget,suppliers,open_party_document('supplier'),/api/suppliers,remote_available,suppliers.list,balance_status,"name,phone,address,balance",display_currency,optional,False,True,False
vouchers,voucher,views.widgets.vouchers_widget.VouchersWidget,vouchers,open_quick_voucher(voucher_id=...) / open_quick_voucher(),/api/vouchers,remote_available,vouchers.list,"voucher_type,date_from,date_to,account","date,type,party,amount,account,description",money_display_policy,optional,True,True,True
cashboxes,cashbox,views.widgets.cashboxes_widget.CashboxesWidget,cashboxes,cashbox editor/document,/api/cashboxes,remote_available,cashboxes.list,"active,branch","name,branch,balance,currency,is_default",display_currency,optional,False,False,True
warehouses,warehouse,views.widgets.warehouses_widget.WarehousesWidget,warehouses,warehouse document/editor,/api/warehouses,remote_available,warehouses.list,"branch,active","name,branch,code,is_default,status",none,user_branch_access,True,True,True
warehouse_transfers,warehouse_transfer,views.widgets.warehouses_widget.WarehousesWidget,warehouses.transfers,open_inventory_transfer_document(...) / transfer tab,/api/warehouse-transfers,remote_available,inventory.transfers.list,"date_from,date_to,from_warehouse,to_warehouse,status","reference,date,from_warehouse,to_warehouse,status,notes",none,user_branch_access,True,True,False
branches,branch,views.widgets.branches_widget.BranchesWidget,branches,open_branch_document(...) / branch tab,/api/branches,remote_available,branches.list,active,"name,code,address,phone,warehouse_count,is_default,status",none,user_branch_access,False,False,True
