key,category,description,status,detail,phase
brand_phase,tokens,Brand system remains active after restoring LoginDialog to Phase352 layout,pass,365,365
login_Phase365: restored LoginDialog visual structure ,login_source,LoginDialog contains restored Phase352 marker: Phase365: restored LoginDialog visual structure to Phase352 single-card design.,pass,Phase365: restored LoginDialog visual structure to Phase352 single-card design.,365
"login_from PyQt5.QtWidgets import QVBoxLayout, QLabel,",login_source,"LoginDialog contains restored Phase352 marker: from PyQt5.QtWidgets import QVBoxLayout, QLabel, QLineEdit, QPushButton, QHBoxLayout, QCheckBox, QComboBox, QFrame",pass,"from PyQt5.QtWidgets import QVBoxLayout, QLabel, QLineEdit, QPushButton, QHBoxLayout, QCheckBox, QComboBox, QFrame",365
login_from PyQt5.QtGui import QPixmap,login_source,LoginDialog contains restored Phase352 marker: from PyQt5.QtGui import QPixmap,pass,from PyQt5.QtGui import QPixmap,365
login_from utils import focus_first_input,login_source,LoginDialog contains restored Phase352 marker: from utils import focus_first_input,pass,from utils import focus_first_input,365
"login_from brand_assets import logo_png, APP_DISPLAY_N",login_source,"LoginDialog contains restored Phase352 marker: from brand_assets import logo_png, APP_DISPLAY_NAME_AR, APP_DESCRIPTION_AR",pass,"from brand_assets import logo_png, APP_DISPLAY_NAME_AR, APP_DESCRIPTION_AR",365
"login_self.resize(int(BRAND.get('login_card_width', 52",login_source,"LoginDialog contains restored Phase352 marker: self.resize(int(BRAND.get('login_card_width', 520)), 640)",pass,"self.resize(int(BRAND.get('login_card_width', 520)), 640)",365
"login_self.setMinimumSize(430, 540)",login_source,"LoginDialog contains restored Phase352 marker: self.setMinimumSize(430, 540)",pass,"self.setMinimumSize(430, 540)",365
login_self.main_frame.setObjectName('loginCard'),login_source,LoginDialog contains restored Phase352 marker: self.main_frame.setObjectName('loginCard'),pass,self.main_frame.setObjectName('loginCard'),365
login_layout = QVBoxLayout(self.content_widget),login_source,LoginDialog contains restored Phase352 marker: layout = QVBoxLayout(self.content_widget),pass,layout = QVBoxLayout(self.content_widget),365
login_layout.setSpacing(14),login_source,LoginDialog contains restored Phase352 marker: layout.setSpacing(14),pass,layout.setSpacing(14),365
"login_layout.setContentsMargins(34, 24, 34, 30)",login_source,"LoginDialog contains restored Phase352 marker: layout.setContentsMargins(34, 24, 34, 30)",pass,"layout.setContentsMargins(34, 24, 34, 30)",365
login_logo.setObjectName('brandMark'),login_source,LoginDialog contains restored Phase352 marker: logo.setObjectName('brandMark'),pass,logo.setObjectName('brandMark'),365
"login_self.app_title_label.setObjectName(""heroTitle"")",login_source,"LoginDialog contains restored Phase352 marker: self.app_title_label.setObjectName(""heroTitle"")",pass,"self.app_title_label.setObjectName(""heroTitle"")",365
login_self.subtitle_label.setObjectName('muted'),login_source,LoginDialog contains restored Phase352 marker: self.subtitle_label.setObjectName('muted'),pass,self.subtitle_label.setObjectName('muted'),365
login_pwd_layout = QHBoxLayout(),login_source,LoginDialog contains restored Phase352 marker: pwd_layout = QHBoxLayout(),pass,pwd_layout = QHBoxLayout(),365
login_pwd_layout.addWidget(self.password_edit),login_source,LoginDialog contains restored Phase352 marker: pwd_layout.addWidget(self.password_edit),pass,pwd_layout.addWidget(self.password_edit),365
login_pwd_layout.addWidget(self.show_pwd_btn),login_source,LoginDialog contains restored Phase352 marker: pwd_layout.addWidget(self.show_pwd_btn),pass,pwd_layout.addWidget(self.show_pwd_btn),365
login_layout.addLayout(pwd_layout),login_source,LoginDialog contains restored Phase352 marker: layout.addLayout(pwd_layout),pass,layout.addLayout(pwd_layout),365
login_options_layout = QHBoxLayout(),login_source,LoginDialog contains restored Phase352 marker: options_layout = QHBoxLayout(),pass,options_layout = QHBoxLayout(),365
login_layout.addLayout(options_layout),login_source,LoginDialog contains restored Phase352 marker: layout.addLayout(options_layout),pass,layout.addLayout(options_layout),365
"login_self.login_btn.setObjectName(""primary"")",login_source,"LoginDialog contains restored Phase352 marker: self.login_btn.setObjectName(""primary"")",pass,"self.login_btn.setObjectName(""primary"")",365
login_self.switch_btn = DesignSystem.secondary_button(,login_source,LoginDialog contains restored Phase352 marker: self.switch_btn = DesignSystem.secondary_button(translate('switch_account')),pass,self.switch_btn = DesignSystem.secondary_button(translate('switch_account')),365
forbid_from ui.first_run_branding import,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: from ui.first_run_branding import,pass,from ui.first_run_branding import,365
forbid_brand_side_panel(,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: brand_side_panel(,pass,brand_side_panel(,365
forbid_first_run_form_panel(,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: first_run_form_panel(,pass,first_run_form_panel(,365
forbid_root_layout = QHBoxLayout(self.content_widget),superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: root_layout = QHBoxLayout(self.content_widget),pass,root_layout = QHBoxLayout(self.content_widget),365
forbid_self.brand_panel =,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: self.brand_panel =,pass,self.brand_panel =,365
forbid_self.form_panel =,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: self.form_panel =,pass,self.form_panel =,365
"forbid_loginLayout', 'rtl_organized_split'",superseded_layout,"LoginDialog no longer opts into superseded split/RTL overlap layout: loginLayout', 'rtl_organized_split'",pass,"loginLayout', 'rtl_organized_split'",365
"forbid_loginDensity', 'expanded_vertical'",superseded_layout,"LoginDialog no longer opts into superseded split/RTL overlap layout: loginDensity', 'expanded_vertical'",pass,"loginDensity', 'expanded_vertical'",365
"forbid_loginOverlapPolicy', 'sectioned_no_overlap'",superseded_layout,"LoginDialog no longer opts into superseded split/RTL overlap layout: loginOverlapPolicy', 'sectioned_no_overlap'",pass,"loginOverlapPolicy', 'sectioned_no_overlap'",365
"forbid_loginSpacingPolicy', 'password_row_reserved_gap'",superseded_layout,"LoginDialog no longer opts into superseded split/RTL overlap layout: loginSpacingPolicy', 'password_row_reserved_gap'",pass,"loginSpacingPolicy', 'password_row_reserved_gap'",365
forbid_loginCredentialsPanel,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: loginCredentialsPanel,pass,loginCredentialsPanel,365
forbid_loginOptionsPanel,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: loginOptionsPanel,pass,loginOptionsPanel,365
forbid_loginPasswordRow,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: loginPasswordRow,pass,loginPasswordRow,365
forbid_loginPasswordSafeSpacer,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: loginPasswordSafeSpacer,pass,loginPasswordSafeSpacer,365
forbid__apply_directional_layout,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: _apply_directional_layout,pass,_apply_directional_layout,365
forbid__field_label(,superseded_layout,LoginDialog no longer opts into superseded split/RTL overlap layout: _field_label(,pass,_field_label(,365
single_card_vertical_order,layout_order,Single-card vertical order places password before options and actions,pass,"[3358, 4196, 5177, 5493, 5721, 6090, 6279]",365
qss_QFrame#loginCard,qss_source,Global QSS still contains Phase352 login selector: QFrame#loginCard,pass,QFrame#loginCard,365
qss_QLabel#brandMark,qss_source,Global QSS still contains Phase352 login selector: QLabel#brandMark,pass,QLabel#brandMark,365
qss_QLabel#heroTitle,qss_source,Global QSS still contains Phase352 login selector: QLabel#heroTitle,pass,QLabel#heroTitle,365
qss_QPushButton#primary,qss_source,Global QSS still contains Phase352 login selector: QPushButton#primary,pass,QPushButton#primary,365
qss_runtime_light,qss_runtime,Generated light QSS supports restored Phase352 LoginDialog,pass,60520,365
qss_runtime_dark,qss_runtime,Generated dark QSS supports restored Phase352 LoginDialog,pass,61146,365
