key,category,description,status,detail,phase
brand_phase,tokens,Brand phase records the Phase367 pre-Phase350 login restore,pass,368,367
required_Phase367: restored LoginDialog visual structure to,login_source,LoginDialog contains original pre-Phase350 marker: Phase367: restored LoginDialog visual structure to the pre-Phase350 original baseline.,pass,Phase367: restored LoginDialog visual structure to the pre-Phase350 original baseline.,367
"required_self.resize(500, 620)",login_source,"LoginDialog contains original pre-Phase350 marker: self.resize(500, 620)",pass,"self.resize(500, 620)",367
"required_self.setMinimumSize(430, 540)",login_source,"LoginDialog contains original pre-Phase350 marker: self.setMinimumSize(430, 540)",pass,"self.setMinimumSize(430, 540)",367
required_self.main_frame.setObjectName('loginCard'),login_source,LoginDialog contains original pre-Phase350 marker: self.main_frame.setObjectName('loginCard'),pass,self.main_frame.setObjectName('loginCard'),367
required_layout = QVBoxLayout(self.content_widget),login_source,LoginDialog contains original pre-Phase350 marker: layout = QVBoxLayout(self.content_widget),pass,layout = QVBoxLayout(self.content_widget),367
required_layout.setSpacing(14),login_source,LoginDialog contains original pre-Phase350 marker: layout.setSpacing(14),pass,layout.setSpacing(14),367
"required_layout.setContentsMargins(34, 24, 34, 30)",login_source,"LoginDialog contains original pre-Phase350 marker: layout.setContentsMargins(34, 24, 34, 30)",pass,"layout.setContentsMargins(34, 24, 34, 30)",367
"required_logo.setPixmap(QPixmap(logo_png(128)).scaled(94, 9",login_source,"LoginDialog contains original pre-Phase350 marker: logo.setPixmap(QPixmap(logo_png(128)).scaled(94, 94, Qt.KeepAspectRatio, Qt.SmoothTransformation))",pass,"logo.setPixmap(QPixmap(logo_png(128)).scaled(94, 94, Qt.KeepAspectRatio, Qt.SmoothTransformation))",367
"required_self.app_title_label.setObjectName(""heroTitle"")",login_source,"LoginDialog contains original pre-Phase350 marker: self.app_title_label.setObjectName(""heroTitle"")",pass,"self.app_title_label.setObjectName(""heroTitle"")",367
required_self.subtitle_label.setObjectName('muted'),login_source,LoginDialog contains original pre-Phase350 marker: self.subtitle_label.setObjectName('muted'),pass,self.subtitle_label.setObjectName('muted'),367
required_self.username_combo = QComboBox(),login_source,LoginDialog contains original pre-Phase350 marker: self.username_combo = QComboBox(),pass,self.username_combo = QComboBox(),367
required_self.username_combo.setEditable(True),login_source,LoginDialog contains original pre-Phase350 marker: self.username_combo.setEditable(True),pass,self.username_combo.setEditable(True),367
required_self.username_combo.setPlaceholderText(translate(',login_source,LoginDialog contains original pre-Phase350 marker: self.username_combo.setPlaceholderText(translate('username')),pass,self.username_combo.setPlaceholderText(translate('username')),367
