key,category,description,status,detail,phase
brand_phase,tokens,Brand phase records the Phase366 login restore/analyze pass,pass,366,366
required_Phase366: restored pre-Phase352 LoginDialog ,login_source,LoginDialog contains safe pre-Phase352 RTL marker: Phase366: restored pre-Phase352 LoginDialog structure with safe RTL ordering and no overlap panels.,pass,Phase366: restored pre-Phase352 LoginDialog structure with safe RTL ordering and no overlap panels.,366
"required_self.resize(500, 660)",login_source,"LoginDialog contains safe pre-Phase352 RTL marker: self.resize(500, 660)",pass,"self.resize(500, 660)",366
"required_self.setMinimumSize(430, 600)",login_source,"LoginDialog contains safe pre-Phase352 RTL marker: self.setMinimumSize(430, 600)",pass,"self.setMinimumSize(430, 600)",366
required_self.main_frame.setProperty('loginLayoutPoli,login_source,"LoginDialog contains safe pre-Phase352 RTL marker: self.main_frame.setProperty('loginLayoutPolicy', 'pre352_rtl_ordered_no_overlay')",pass,"self.main_frame.setProperty('loginLayoutPolicy', 'pre352_rtl_ordered_no_overlay')",366
required_layout = QVBoxLayout(self.content_widget),login_source,LoginDialog contains safe pre-Phase352 RTL marker: layout = QVBoxLayout(self.content_widget),pass,layout = QVBoxLayout(self.content_widget),366
"required_layout.setContentsMargins(34, 24, 34, 30)",login_source,"LoginDialog contains safe pre-Phase352 RTL marker: layout.setContentsMargins(34, 24, 34, 30)",pass,"layout.setContentsMargins(34, 24, 34, 30)",366
required_logo.setPixmap(QPixmap(logo_png(128)).scaled,login_source,"LoginDialog contains safe pre-Phase352 RTL marker: logo.setPixmap(QPixmap(logo_png(128)).scaled(94, 94, Qt.KeepAspectRatio, Qt.SmoothTransformation))",pass,"logo.setPixmap(QPixmap(logo_png(128)).scaled(94, 94, Qt.KeepAspectRatio, Qt.SmoothTransformation))",366
required_self.username_label = self._field_label(tran,login_source,LoginDialog contains safe pre-Phase352 RTL marker: self.username_label = self._field_label(translate('username')),pass,self.username_label = self._field_label(translate('username')),366
required_self.password_label = self._field_label(tran,login_source,LoginDialog contains safe pre-Phase352 RTL marker: self.password_label = self._field_label(translate('password')),pass,self.password_label = self._field_label(translate('password')),366
