key,target,status,detail,phase
"background: transparent; border: 1px solid rgba(255,255,255,0.38)",alrajhi_client/views/widgets/dashboard_widget.py,pass,required marker present,384
QLabel#CompanyLogoBox { background: transparent;,alrajhi_client/views/widgets/dashboard_widget.py,pass,required marker present,384
"QLabel#SystemBrandLogoBox {{
                background: transparent;",alrajhi_client/views/widgets/dashboard_widget.py,pass,required marker present,384
DashboardDailyActionButton,alrajhi_client/views/widgets/dashboard_widget.py,pass,required marker present,384
Phase384: centered shortcut text without the legacy monitoring row.,alrajhi_client/views/widgets/dashboard_widget.py,pass,required marker present,384
QuickActionButton(translate('monitoring_short'),alrajhi_client/views/widgets/dashboard_widget.py,pass,forbidden marker absent,384
"grid.addWidget(monitor, 3, 0, 1, 3)",alrajhi_client/views/widgets/dashboard_widget.py,pass,forbidden marker absent,384
QLabel#StatusPill {{ color: white; background: rgba,alrajhi_client/views/widgets/dashboard_widget.py,pass,forbidden marker absent,384
QLabel#CompanyLogoBox { background: #f8fafc;,alrajhi_client/views/widgets/dashboard_widget.py,pass,forbidden marker absent,384
"QLabel#SystemBrandLogoBox {{
                background: #ffffff;",alrajhi_client/views/widgets/dashboard_widget.py,pass,forbidden marker absent,384
text-align: center,alrajhi_client/views/widgets/dashboard_legacy_components.py,pass,required marker present,384
Phase384: Enter navigation must not clear existing/default values,alrajhi_client/ui/table_keyboard_policy.py,pass,required marker present,384
standard_enter_commit_filter,alrajhi_client/ui/table_keyboard_policy.py,pass,required marker present,384
editor.setAlignment(Qt.AlignCenter),alrajhi_client/ui/table_keyboard_policy.py,pass,required marker present,384
self.commitData(obj),alrajhi_client/ui/table_keyboard_policy.py,pass,required marker present,384
"self.closeEditor(obj, QAbstractItemDelegate.NoHint)",alrajhi_client/ui/table_keyboard_policy.py,pass,required marker present,384
start_edit=True,alrajhi_client/ui/table_keyboard_policy.py,pass,required marker present,384
editor.clear(),alrajhi_client/ui/table_keyboard_policy.py,pass,forbidden marker absent,384
RuntimeCenterAlignDelegate,alrajhi_client/ui/runtime_visual_polish.py,pass,required marker present,384
option.displayAlignment = Qt.AlignCenter,alrajhi_client/ui/runtime_visual_polish.py,pass,required marker present,384
table.setItemDelegate(RuntimeCenterAlignDelegate(table)),alrajhi_client/ui/runtime_visual_polish.py,pass,required marker present,384
QTableWidget,alrajhi_client/ui/runtime_visual_polish.py,pass,required marker present,384
item.setTextAlignment(Qt.AlignCenter),alrajhi_client/ui/runtime_visual_polish.py,pass,required marker present,384
QAbstractItemView.SelectItems,alrajhi_client/ui/runtime_visual_polish.py,pass,required marker present,384
"def setItem(self, row: int, column: int, item)",alrajhi_client/ui/editable_smart_grid.py,pass,required marker present,384
item.setTextAlignment(Qt.AlignCenter),alrajhi_client/ui/editable_smart_grid.py,pass,required marker present,384
"if role == Qt.TextAlignmentRole:
            return Qt.AlignCenter",alrajhi_client/features/transactions/grids/transaction_line_model.py,pass,required marker present,384
Qt.AlignRight,alrajhi_client/features/transactions/grids/transaction_line_model.py,pass,forbidden marker absent,384
Qt.AlignLeft,alrajhi_client/features/transactions/grids/transaction_line_model.py,pass,forbidden marker absent,384
"if role == Qt.TextAlignmentRole:
            return Qt.AlignCenter",alrajhi_client/features/inventory/grids/inventory_transfer_lines_model.py,pass,required marker present,384
Qt.AlignRight,alrajhi_client/features/inventory/grids/inventory_transfer_lines_model.py,pass,forbidden marker absent,384
Qt.AlignLeft,alrajhi_client/features/inventory/grids/inventory_transfer_lines_model.py,pass,forbidden marker absent,384
"if role == Qt.TextAlignmentRole:
            return Qt.AlignCenter",alrajhi_client/features/manufacturing/grids/bom_components_model.py,pass,required marker present,384
Qt.AlignRight,alrajhi_client/features/manufacturing/grids/bom_components_model.py,pass,forbidden marker absent,384
Qt.AlignLeft,alrajhi_client/features/manufacturing/grids/bom_components_model.py,pass,forbidden marker absent,384
"if role == Qt.TextAlignmentRole:
            return Qt.AlignCenter",alrajhi_client/views/dialogs/invoice_dialog.py,pass,required marker present,384
Qt.AlignRight,alrajhi_client/views/dialogs/invoice_dialog.py,pass,forbidden marker absent,384
Qt.AlignLeft,alrajhi_client/views/dialogs/invoice_dialog.py,pass,forbidden marker absent,384
