key,module,action,description,source,shell_family,api_resource,network_mode,branch_scoped,legacy_alias,admin,manager,accountant,cashier,viewer,migration_seeded
bank_accounts.create,bank_accounts,create,document:bank_account:create: bank_accounts create,document:bank_account:create,document,/api/rbac,remote_available,False,,True,True,True,False,False,True
bank_accounts.delete,bank_accounts,delete,document:bank_account:delete: bank_accounts delete,document:bank_account:delete,document,/api/rbac,remote_available,False,,True,True,True,False,False,True
bank_accounts.update,bank_accounts,update,document:bank_account:update: bank_accounts update,document:bank_account:update,document,/api/rbac,remote_available,False,,True,True,True,False,False,True
bank_accounts.view,bank_accounts,view,document:bank_account:view: bank_accounts view,document:bank_account:view,document,/api/rbac,remote_available,False,,True,True,True,False,True,True
branches.create,branches,create,document:branch:create: branches create,document:branch:create,document,/api/rbac,remote_available,True,,True,True,False,False,False,True
branches.delete,branches,delete,document:branch:delete: branches delete,document:branch:delete,document,/api/rbac,remote_available,True,,True,True,False,False,False,True
branches.manage_all,branches,manage_all,rbac:branch_scope:manage_all: branches manage all,rbac:branch_scope:manage_all,security,/api/rbac,remote_available,False,,True,True,False,False,False,True
branches.update,branches,update,document:branch:update: branches update,document:branch:update,document,/api/rbac,remote_available,True,,True,True,False,False,False,True
branches.view,branches,view,document:branch:view: branches view,document:branch:view,document,/api/rbac,remote_available,True,,True,True,True,False,True,True
branches.view_all,branches,view_all,rbac:branch_scope:view_all: branches view all,rbac:branch_scope:view_all,security,/api/rbac,remote_available,False,,True,True,False,False,False,True
cashboxes.create,cashboxes,create,document:cashbox:create: cashboxes create,document:cashbox:create,document,/api/rbac,remote_available,False,,True,True,True,False,False,True
cashboxes.delete,cashboxes,delete,document:cashbox:delete: cashboxes delete,document:cashbox:delete,document,/api/rbac,remote_available,False,,True,True,True,False,False,True
cashboxes.update,cashboxes,update,document:cashbox:update: cashboxes update,document:cashbox:update,document,/api/rbac,remote_available,False,,True,True,True,False,False,True
cashboxes.view,cashboxes,view,document:cashbox:view: cashboxes view,document:cashbox:view,document,/api/rbac,remote_available,False,,True,True,True,False,True,True
categories.create,categories,create,document:category:create: categories create,document:category:create,document,/api/rbac,remote_available,False,,True,True,False,False,False,True
categories.delete,categories,delete,document:category:delete: categories delete,document:category:delete,document,/api/rbac,remote_available,False,,True,True,False,False,False,True
categories.update,categories,update,document:category:update: categories update,document:category:update,document,/api/rbac,remote_available,False,,True,True,False,False,False,True
categories.view,categories,view,document:category:view: categories view,document:category:view,document,/api/rbac,remote_available,False,,True,True,True,False,True,True
customers.create,customers,create,document:customer:create: customers create,document:customer:create,document,/api/rbac,remote_available,False,,True,True,True,True,False,True
customers.delete,customers,delete,document:customer:delete: customers delete,document:customer:delete,document,/api/rbac,remote_available,False,,True,True,True,True,False,True
customers.export,customers,export,document:customer:export: customers export,document:customer:export,document,/api/rbac,remote_available,False,,True,True,True,True,False,True
customers.print,customers,print,document:customer:print: customers print,document:customer:print,document,/api/rbac,remote_available,False,,True,True,True,True,False,True
customers.update,customers,update,document:customer:update: customers update,document:customer:update,document,/api/rbac,remote_available,False,,True,True,True,True,False,True
