key,category,description,status,detail,phase
workflow_step_name: Build Windows Installer,reused_workflow_shape,workflow step name: Build Windows Installer,pass,name: Build Windows Installer,371
workflow_step_push:,reused_workflow_shape,workflow step push:,pass,push:,371
workflow_step_branches:,reused_workflow_shape,workflow step branches:,pass,branches:,371
workflow_step_- main,reused_workflow_shape,workflow step - main,pass,- main,371
workflow_step_- master,reused_workflow_shape,workflow step - master,pass,- master,371
workflow_step_workflow_dispatch:,reused_workflow_shape,workflow step workflow dispatch:,pass,workflow_dispatch:,371
"workflow_step_python-version: ""3.10""",reused_workflow_shape,"workflow step python-version: ""3.10""",pass,"python-version: ""3.10""",371
workflow_step_name: Upgrade pip,reused_workflow_shape,workflow step name: Upgrade pip,pass,name: Upgrade pip,371
workflow_step_name: Install requirements,reused_workflow_shape,workflow step name: Install requirements,pass,name: Install requirements,371
workflow_step_name: Verify requirements file,reused_workflow_shape,workflow step name: Verify requirements file,pass,name: Verify requirements file,371
workflow_step_name: Validate imports,reused_workflow_shape,workflow step name: Validate imports,pass,name: Validate imports,371
workflow_step_name: Verify project structure,reused_workflow_shape,workflow step name: Verify project structure,pass,name: Verify project structure,371
workflow_step_name: Copy pyzbar DLLs,reused_workflow_shape,workflow step name: Copy pyzbar DLLs,pass,name: Copy pyzbar DLLs,371
workflow_step_name: Locate Qt platforms,reused_workflow_shape,workflow step name: Locate Qt platforms,pass,name: Locate Qt platforms,371
workflow_step_name: Release hardening guards,reused_workflow_shape,workflow step name: Release hardening guards,pass,name: Release hardening guards,371
workflow_step_name: Build executable,reused_workflow_shape,workflow step name: Build executable,pass,name: Build executable,371
workflow_step_name: Download Inno Setup,reused_workflow_shape,workflow step name: Download Inno Setup,pass,name: Download Inno Setup,371
workflow_step_name: Download Arabic Language,reused_workflow_shape,workflow step name: Download Arabic Language,pass,name: Download Arabic Language,371
workflow_step_name: Create Inno Setup Scripts,reused_workflow_shape,workflow step name: Create Inno Setup Scripts,pass,name: Create Inno Setup Scripts,371
workflow_step_name: Build Warehouse Release Installer,reused_workflow_shape,workflow step name: Build Warehouse Release Installer,pass,name: Build Warehouse Release Installer,371
