scenario_key,step_key,check_key,status,message,callback_name
sales_invoice_full_cycle,sales_invoices.open,contract,passed,,
sales_invoice_full_cycle,sales_invoices.open,payload_shape,passed,,build_sample_payload
sales_invoice_full_cycle,sales_invoices.open,permission,passed,,check_permission
sales_invoice_full_cycle,sales_invoices.open,language,passed,,
sales_invoice_full_cycle,sales_invoices.open,branch,passed,,scope_sample_branch
sales_invoice_full_cycle,sales_invoices.open,audit_hook,skipped,callback not provided,record_dry_run_audit
sales_invoice_full_cycle,sales_invoice.save,contract,passed,,
sales_invoice_full_cycle,sales_invoice.save,payload_shape,passed,,build_sample_payload
sales_invoice_full_cycle,sales_invoice.save,route_intent,skipped,callback not provided,probe_document_route
sales_invoice_full_cycle,sales_invoice.save,permission,passed,,check_permission
sales_invoice_full_cycle,sales_invoice.save,settings,passed,,
sales_invoice_full_cycle,sales_invoice.save,language,passed,,
sales_invoice_full_cycle,sales_invoice.save,currency,passed,,format_sample_money
sales_invoice_full_cycle,sales_invoice.save,branch,passed,,scope_sample_branch
sales_invoice_full_cycle,sales_invoice.save,print_hook,skipped,callback not provided,render_print_html
sales_invoice_full_cycle,sales_invoice.save,audit_hook,skipped,callback not provided,record_dry_run_audit
sales_invoice_full_cycle,sales_invoice.save,offline_hook,skipped,callback not provided,enqueue_dry_run_offline
sales_invoice_full_cycle,sales_invoice.print,contract,passed,,
sales_invoice_full_cycle,sales_invoice.print,payload_shape,passed,,build_sample_payload
sales_invoice_full_cycle,sales_invoice.print,permission,passed,,check_permission
sales_invoice_full_cycle,sales_invoice.print,settings,passed,,
sales_invoice_full_cycle,sales_invoice.print,language,passed,,
sales_invoice_full_cycle,sales_invoice.print,currency,passed,,format_sample_money
sales_invoice_full_cycle,sales_invoice.print,print_hook,skipped,callback not provided,render_print_html
sales_invoice_full_cycle,sales_invoice.print,audit_hook,skipped,callback not provided,record_dry_run_audit
sales_invoice_full_cycle,invoice_profit.view,contract,passed,,
sales_invoice_full_cycle,invoice_profit.view,payload_shape,passed,,build_sample_payload
sales_invoice_full_cycle,invoice_profit.view,route_intent,skipped,callback not provided,probe_report_route
sales_invoice_full_cycle,invoice_profit.view,permission,passed,,check_permission
sales_invoice_full_cycle,invoice_profit.view,currency,passed,,format_sample_money
sales_invoice_full_cycle,invoice_profit.view,branch,passed,,scope_sample_branch
sales_invoice_full_cycle,invoice_profit.view,audit_hook,skipped,callback not provided,record_dry_run_audit
purchase_invoice_full_cycle,purchase_invoices.open,contract,passed,,
purchase_invoice_full_cycle,purchase_invoices.open,payload_shape,passed,,build_sample_payload
purchase_invoice_full_cycle,purchase_invoices.open,permission,passed,,check_permission
purchase_invoice_full_cycle,purchase_invoices.open,language,passed,,
purchase_invoice_full_cycle,purchase_invoices.open,branch,passed,,scope_sample_branch
purchase_invoice_full_cycle,purchase_invoices.open,audit_hook,skipped,callback not provided,record_dry_run_audit
