scenario_key,module,primary_document_type,step_key,check_key,mode,required,risk_level,callback_name,expected,safe_for_ci,destructive,notes
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoices.open,contract,static,True,none,,list,True,False,Step descriptor exists and is covered by Phase 271 validation.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoices.open,payload_shape,dry_run,True,none,build_sample_payload,"branch_id,dry_run,page,page_size",True,False,Sample payload shape only; no persistence.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoices.open,permission,static,True,none,check_permission,sales_invoices.view,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoices.open,language,static,True,none,,transactions.sales_invoice,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoices.open,branch,dry_run,True,none,scope_sample_branch,branch_access_policy,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoices.open,audit_hook,callback,True,none,record_dry_run_audit,list.sales_invoices.open,True,False,Dry-run audit must be tagged as scenario_smoke and avoid permanent business records.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,contract,static,True,none,,document,True,False,Step descriptor exists and is covered by Phase 271 validation.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,payload_shape,dry_run,True,none,build_sample_payload,"branch_id,currency,lines,reference,type",True,False,Sample payload shape only; no persistence.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,route_intent,callback,True,write_intent,probe_document_route,/api/invoices,True,False,Route probe must use HEAD/OPTIONS or dry-run mode when implemented.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,permission,static,True,none,check_permission,sales_invoices.update,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,settings,static,True,none,,transactions.sales_invoice,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,language,static,True,none,,transactions.sales_invoice,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,currency,dry_run,True,none,format_sample_money,MoneyDisplayPolicy,True,False,Dry-run must format sample amounts only; no conversion side effects.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,branch,dry_run,True,none,scope_sample_branch,branch_access_policy,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,print_hook,callback,True,print_export,render_print_html,browser_html,True,False,Print smoke should render HTML to a temp file/string without sending to a physical printer.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,audit_hook,callback,True,none,record_dry_run_audit,document.sales_invoice.save,True,False,Dry-run audit must be tagged as scenario_smoke and avoid permanent business records.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.save,offline_hook,callback,True,none,enqueue_dry_run_offline,document.sales_invoice,True,False,Offline smoke should validate queue metadata and idempotency only.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.print,contract,static,True,none,,document,True,False,Step descriptor exists and is covered by Phase 271 validation.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.print,payload_shape,dry_run,True,none,build_sample_payload,"branch_id,currency,lines,reference,type",True,False,Sample payload shape only; no persistence.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.print,permission,static,True,none,check_permission,sales_invoices.print,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.print,settings,static,True,none,,transactions.sales_invoice,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.print,language,static,True,none,,transactions.sales_invoice,True,False,
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.print,currency,dry_run,True,none,format_sample_money,MoneyDisplayPolicy,True,False,Dry-run must format sample amounts only; no conversion side effects.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.print,print_hook,callback,True,print_export,render_print_html,browser_html,True,False,Print smoke should render HTML to a temp file/string without sending to a physical printer.
sales_invoice_full_cycle,transactions,sales_invoice,sales_invoice.print,audit_hook,callback,True,none,record_dry_run_audit,document.sales_invoice.print,True,False,Dry-run audit must be tagged as scenario_smoke and avoid permanent business records.
