settings_scope,normalized_scope,covered_by,section_key,service_getter,ui_sections,api_resource,network_mode,required_keys,operation_key_prefixes
branches,branches,branches,branches,get_branch_settings,branches|security,/api/settings/<path:key>,remote_available,branches/enabled|branches/ui/density|branches/operations/allow_create|branches/operations/allow_edit|branches/operations/allow_archive|branches/operations/allow_set_default,branches/operations
branches.list,branches,branches,branches,get_branch_settings,branches|security,/api/settings/<path:key>,remote_available,branches/enabled|branches/ui/density|branches/operations/allow_create|branches/operations/allow_edit|branches/operations/allow_archive|branches/operations/allow_set_default,branches/operations
cafe,cafe,cafe,cafe,get_restaurant_settings,cafe|restaurant|printing,/api/settings/<path:key>,remote_available,cafe/enabled|cafe/auto_open_quick_order|cafe/quick_order_type|cafe/preparation_route|cafe/receipt_paper|cafe/barista_ticket_paper,cafe/operations|restaurant/operations
categories,categories,categories,categories,get_category_settings,categories,/api/settings/<path:key>,remote_available,categories/enabled|categories/ui/density|categories/operations/allow_create|categories/operations/allow_edit|categories/operations/allow_archive,categories/operations
categories.list,categories,categories,categories,get_category_settings,categories,/api/settings/<path:key>,remote_available,categories/enabled|categories/ui/density|categories/operations/allow_create|categories/operations/allow_edit|categories/operations/allow_archive,categories/operations
finance.bank_accounts,finance.bank_accounts,finance,finance,get_finance_settings,finance|accounting|printing,/api/settings/<path:key>,remote_available,finance/enabled|finance/ui/density|finance/operations/allow_voucher_create|finance/operations/allow_voucher_edit|finance/operations/allow_voucher_print|finance/operations/allow_expense_create|finance/operations/allow_expense_print,finance/operations
finance.cashboxes,finance.cashboxes,finance,finance,get_finance_settings,finance|accounting|printing,/api/settings/<path:key>,remote_available,finance/enabled|finance/ui/density|finance/operations/allow_voucher_create|finance/operations/allow_voucher_edit|finance/operations/allow_voucher_print|finance/operations/allow_expense_create|finance/operations/allow_expense_print,finance/operations
finance.cashboxes.list,finance.cashboxes,finance,finance,get_finance_settings,finance|accounting|printing,/api/settings/<path:key>,remote_available,finance/enabled|finance/ui/density|finance/operations/allow_voucher_create|finance/operations/allow_voucher_edit|finance/operations/allow_voucher_print|finance/operations/allow_expense_create|finance/operations/allow_expense_print,finance/operations
finance.expenses,finance.expenses,finance,finance,get_finance_settings,finance|accounting|printing,/api/settings/<path:key>,remote_available,finance/enabled|finance/ui/density|finance/operations/allow_voucher_create|finance/operations/allow_voucher_edit|finance/operations/allow_voucher_print|finance/operations/allow_expense_create|finance/operations/allow_expense_print,finance/operations
finance.vouchers,finance.vouchers,finance,finance,get_finance_settings,finance|accounting|printing,/api/settings/<path:key>,remote_available,finance/enabled|finance/ui/density|finance/operations/allow_voucher_create|finance/operations/allow_voucher_edit|finance/operations/allow_voucher_print|finance/operations/allow_expense_create|finance/operations/allow_expense_print,finance/operations
finance.vouchers.list,finance.vouchers,finance,finance,get_finance_settings,finance|accounting|printing,/api/settings/<path:key>,remote_available,finance/enabled|finance/ui/density|finance/operations/allow_voucher_create|finance/operations/allow_voucher_edit|finance/operations/allow_voucher_print|finance/operations/allow_expense_create|finance/operations/allow_expense_print,finance/operations
