check,id,columns,display_keys,print_keys,export_keys
contract_runtime_state,apparel.reports,6,item;color;size;quantity;reorder_level;sku,item;color;size;quantity;reorder_level;sku,item;color;size;quantity;reorder_level;sku
contract_runtime_state,apparel.variants,9,item;color;size;sku;barcode;quantity;reorder_level;sale_price;status,item;color;size;sku;barcode;quantity;reorder_level;sale_price,item;color;size;sku;barcode;quantity;reorder_level;sale_price;status
contract_runtime_state,cafe.order_lines,9,row;item;modifiers;qty;total;status;notes,row;item;modifiers;qty;price;total;status;notes,row;item;modifiers;unit;qty;price;total;status;notes
contract_runtime_state,cafe.preparation_lines,4,item;qty;modifiers;notes,item;qty;modifiers;notes,item;qty;modifiers;notes
contract_runtime_state,cafe.preparation_tickets,6,ticket;table;station;line_count;status;elapsed_minutes,ticket;table;station;line_count;status;elapsed_minutes,ticket;table;station;line_count;status;elapsed_minutes
contract_runtime_state,pos.lines,11,row;item;qty;total,row;barcode;item;unit;qty;price;total;available,row;item;unit;qty;price;total
contract_runtime_state,purchase_invoices.lines,13,row;barcode;item;variant;unit;qty;cost;batch;expiry;discount;tax;total;notes,row;barcode;item;variant;unit;qty;cost;batch;expiry;discount;tax;total;notes,row;barcode;item;variant;unit;qty;cost;batch;expiry;discount;tax;total;notes
contract_runtime_state,purchase_returns.lines,15,row;original_invoice;barcode;item;variant;original_qty;previous_qty;returnable_qty;unit;qty;reason;restock;price;total;notes,row;original_invoice;barcode;item;variant;original_qty;previous_qty;returnable_qty;unit;qty;reason;restock;price;total;notes,row;original_invoice;barcode;item;variant;original_qty;previous_qty;returnable_qty;unit;qty;reason;restock;price;total;notes
contract_runtime_state,restaurant.kds_lines,4,item;qty;modifiers;notes,item;qty;modifiers;notes,item;qty;modifiers;notes
contract_runtime_state,restaurant.kds_tickets,6,ticket;table;station;line_count;status;elapsed_minutes,ticket;table;station;line_count;status;elapsed_minutes,ticket;table;station;line_count;status;elapsed_minutes
contract_runtime_state,restaurant.order_lines,11,row;item;qty;total,row;item;qty;price;total,row;item;unit;qty;price;total;status
contract_runtime_state,returns.lines,15,row;original_invoice;barcode;item;variant;original_qty;previous_qty;returnable_qty;unit;qty;reason;restock;price;total;notes,row;original_invoice;barcode;item;variant;original_qty;previous_qty;returnable_qty;unit;qty;reason;restock;price;total;notes,row;original_invoice;barcode;item;variant;original_qty;previous_qty;returnable_qty;unit;qty;reason;restock;price;total;notes
contract_runtime_state,sales_invoices.lines,12,row;barcode;item;variant;unit;qty;available;price;discount;tax;total;notes,row;barcode;item;variant;unit;qty;available;price;discount;tax;total;notes,row;barcode;item;variant;unit;qty;available;price;discount;tax;total;notes
settings_widget_runtime_table,alrajhi_client/views/widgets/settings_widget.py,1,settings_surface_columns_table,,
settings_widget_save_columns,alrajhi_client/views/widgets/settings_widget.py,1,save_settings_surface_column_contract,,
runtime_dialog,alrajhi_client/views/dialogs/column_contract_customizer.py,1,ColumnContractCustomizerDialog,,
custom_table_contract_dialog,alrajhi_client/views/custom_table_view.py,1,show_contract_column_customizer,,
smart_table_contract_dialog,alrajhi_client/ui/smart_table_view.py,1,show_contract_column_customizer,,
