surface_type,id,title,settings_prefix,settings_count,setting_keys
columns,apparel.reports,apparel.reports,ui/columns/apparel/reports,18,ui/columns/apparel/reports/item/visible;ui/columns/apparel/reports/item/printable;ui/columns/apparel/reports/item/exportable;ui/columns/apparel/reports/color/visible;ui/columns/apparel/reports/color/printable;ui/columns/apparel/reports/color/exportable;ui/columns/apparel/reports/size/visible;ui/columns/apparel/reports/size/printable;ui/columns/apparel/reports/size/exportable;ui/columns/apparel/reports/quantity/visible;ui/columns/apparel/reports/quantity/printable;ui/columns/apparel/reports/quantity/exportable;ui/columns/apparel/reports/reorder_level/visible;ui/columns/apparel/reports/reorder_level/printable;ui/columns/apparel/reports/reorder_level/exportable;ui/columns/apparel/reports/sku/visible;ui/columns/apparel/reports/sku/printable;ui/columns/apparel/reports/sku/exportable
columns,apparel.variants,apparel.variants,ui/columns/apparel/variants,27,ui/columns/apparel/variants/item/visible;ui/columns/apparel/variants/item/printable;ui/columns/apparel/variants/item/exportable;ui/columns/apparel/variants/color/visible;ui/columns/apparel/variants/color/printable;ui/columns/apparel/variants/color/exportable;ui/columns/apparel/variants/size/visible;ui/columns/apparel/variants/size/printable;ui/columns/apparel/variants/size/exportable;ui/columns/apparel/variants/sku/visible;ui/columns/apparel/variants/sku/printable;ui/columns/apparel/variants/sku/exportable;ui/columns/apparel/variants/barcode/visible;ui/columns/apparel/variants/barcode/printable;ui/columns/apparel/variants/barcode/exportable;ui/columns/apparel/variants/quantity/visible;ui/columns/apparel/variants/quantity/printable;ui/columns/apparel/variants/quantity/exportable;ui/columns/apparel/variants/reorder_level/visible;ui/columns/apparel/variants/reorder_level/printable;ui/columns/apparel/variants/reorder_level/exportable;ui/columns/apparel/variants/sale_price/visible;ui/columns/apparel/variants/sale_price/printable;ui/columns/apparel/variants/sale_price/exportable;ui/columns/apparel/variants/status/visible;ui/columns/apparel/variants/status/printable;ui/columns/apparel/variants/status/exportable
columns,cafe.order_lines,cafe.order_lines,ui/columns/cafe/order_lines,27,ui/columns/cafe/order_lines/row/visible;ui/columns/cafe/order_lines/row/printable;ui/columns/cafe/order_lines/row/exportable;ui/columns/cafe/order_lines/item/visible;ui/columns/cafe/order_lines/item/printable;ui/columns/cafe/order_lines/item/exportable;ui/columns/cafe/order_lines/modifiers/visible;ui/columns/cafe/order_lines/modifiers/printable;ui/columns/cafe/order_lines/modifiers/exportable;ui/columns/cafe/order_lines/unit/visible;ui/columns/cafe/order_lines/unit/printable;ui/columns/cafe/order_lines/unit/exportable;ui/columns/cafe/order_lines/qty/visible;ui/columns/cafe/order_lines/qty/printable;ui/columns/cafe/order_lines/qty/exportable;ui/columns/cafe/order_lines/price/visible;ui/columns/cafe/order_lines/price/printable;ui/columns/cafe/order_lines/price/exportable;ui/columns/cafe/order_lines/total/visible;ui/columns/cafe/order_lines/total/printable;ui/columns/cafe/order_lines/total/exportable;ui/columns/cafe/order_lines/status/visible;ui/columns/cafe/order_lines/status/printable;ui/columns/cafe/order_lines/status/exportable;ui/columns/cafe/order_lines/notes/visible;ui/columns/cafe/order_lines/notes/printable;ui/columns/cafe/order_lines/notes/exportable
columns,cafe.preparation_lines,cafe.preparation_lines,ui/columns/cafe/preparation_lines,12,ui/columns/cafe/preparation_lines/item/visible;ui/columns/cafe/preparation_lines/item/printable;ui/columns/cafe/preparation_lines/item/exportable;ui/columns/cafe/preparation_lines/qty/visible;ui/columns/cafe/preparation_lines/qty/printable;ui/columns/cafe/preparation_lines/qty/exportable;ui/columns/cafe/preparation_lines/modifiers/visible;ui/columns/cafe/preparation_lines/modifiers/printable;ui/columns/cafe/preparation_lines/modifiers/exportable;ui/columns/cafe/preparation_lines/notes/visible;ui/columns/cafe/preparation_lines/notes/printable;ui/columns/cafe/preparation_lines/notes/exportable
columns,cafe.preparation_tickets,cafe.preparation_tickets,ui/columns/cafe/preparation_tickets,18,ui/columns/cafe/preparation_tickets/ticket/visible;ui/columns/cafe/preparation_tickets/ticket/printable;ui/columns/cafe/preparation_tickets/ticket/exportable;ui/columns/cafe/preparation_tickets/table/visible;ui/columns/cafe/preparation_tickets/table/printable;ui/columns/cafe/preparation_tickets/table/exportable;ui/columns/cafe/preparation_tickets/station/visible;ui/columns/cafe/preparation_tickets/station/printable;ui/columns/cafe/preparation_tickets/station/exportable;ui/columns/cafe/preparation_tickets/line_count/visible;ui/columns/cafe/preparation_tickets/line_count/printable;ui/columns/cafe/preparation_tickets/line_count/exportable;ui/columns/cafe/preparation_tickets/status/visible;ui/columns/cafe/preparation_tickets/status/printable;ui/columns/cafe/preparation_tickets/status/exportable;ui/columns/cafe/preparation_tickets/elapsed_minutes/visible;ui/columns/cafe/preparation_tickets/elapsed_minutes/printable;ui/columns/cafe/preparation_tickets/elapsed_minutes/exportable
columns,pos.lines,pos.lines,ui/columns/pos/lines,33,ui/columns/pos/lines/row/visible;ui/columns/pos/lines/row/printable;ui/columns/pos/lines/row/exportable;ui/columns/pos/lines/barcode/visible;ui/columns/pos/lines/barcode/printable;ui/columns/pos/lines/barcode/exportable;ui/columns/pos/lines/item/visible;ui/columns/pos/lines/item/printable;ui/columns/pos/lines/item/exportable;ui/columns/pos/lines/variant/visible;ui/columns/pos/lines/variant/printable;ui/columns/pos/lines/variant/exportable;ui/columns/pos/lines/unit/visible;ui/columns/pos/lines/unit/printable;ui/columns/pos/lines/unit/exportable;ui/columns/pos/lines/qty/visible;ui/columns/pos/lines/qty/printable;ui/columns/pos/lines/qty/exportable;ui/columns/pos/lines/base_qty/visible;ui/columns/pos/lines/base_qty/printable;ui/columns/pos/lines/base_qty/exportable;ui/columns/pos/lines/price/visible;ui/columns/pos/lines/price/printable;ui/columns/pos/lines/price/exportable;ui/columns/pos/lines/total/visible;ui/columns/pos/lines/total/printable;ui/columns/pos/lines/total/exportable;ui/columns/pos/lines/available/visible;ui/columns/pos/lines/available/printable;ui/columns/pos/lines/available/exportable;ui/columns/pos/lines/barcode_scope/visible;ui/columns/pos/lines/barcode_scope/printable;ui/columns/pos/lines/barcode_scope/exportable
columns,purchase_invoices.lines,purchase_invoices.lines,ui/columns/purchase_invoices/lines,39,ui/columns/purchase_invoices/lines/row/visible;ui/columns/purchase_invoices/lines/row/printable;ui/columns/purchase_invoices/lines/row/exportable;ui/columns/purchase_invoices/lines/barcode/visible;ui/columns/purchase_invoices/lines/barcode/printable;ui/columns/purchase_invoices/lines/barcode/exportable;ui/columns/purchase_invoices/lines/item/visible;ui/columns/purchase_invoices/lines/item/printable;ui/columns/purchase_invoices/lines/item/exportable;ui/columns/purchase_invoices/lines/variant/visible;ui/columns/purchase_invoices/lines/variant/printable;ui/columns/purchase_invoices/lines/variant/exportable;ui/columns/purchase_invoices/lines/unit/visible;ui/columns/purchase_invoices/lines/unit/printable;ui/columns/purchase_invoices/lines/unit/exportable;ui/columns/purchase_invoices/lines/qty/visible;ui/columns/purchase_invoices/lines/qty/printable;ui/columns/purchase_invoices/lines/qty/exportable;ui/columns/purchase_invoices/lines/cost/visible;ui/columns/purchase_invoices/lines/cost/printable;ui/columns/purchase_invoices/lines/cost/exportable;ui/columns/purchase_invoices/lines/batch/visible;ui/columns/purchase_invoices/lines/batch/printable;ui/columns/purchase_invoices/lines/batch/exportable;ui/columns/purchase_invoices/lines/expiry/visible;ui/columns/purchase_invoices/lines/expiry/printable;ui/columns/purchase_invoices/lines/expiry/exportable;ui/columns/purchase_invoices/lines/discount/visible;ui/columns/purchase_invoices/lines/discount/printable;ui/columns/purchase_invoices/lines/discount/exportable;ui/columns/purchase_invoices/lines/tax/visible;ui/columns/purchase_invoices/lines/tax/printable;ui/columns/purchase_invoices/lines/tax/exportable;ui/columns/purchase_invoices/lines/total/visible;ui/columns/purchase_invoices/lines/total/printable;ui/columns/purchase_invoices/lines/total/exportable;ui/columns/purchase_invoices/lines/notes/visible;ui/columns/purchase_invoices/lines/notes/printable;ui/columns/purchase_invoices/lines/notes/exportable
columns,purchase_returns.lines,purchase_returns.lines,ui/columns/purchase_returns/lines,45,ui/columns/purchase_returns/lines/row/visible;ui/columns/purchase_returns/lines/row/printable;ui/columns/purchase_returns/lines/row/exportable;ui/columns/purchase_returns/lines/original_invoice/visible;ui/columns/purchase_returns/lines/original_invoice/printable;ui/columns/purchase_returns/lines/original_invoice/exportable;ui/columns/purchase_returns/lines/barcode/visible;ui/columns/purchase_returns/lines/barcode/printable;ui/columns/purchase_returns/lines/barcode/exportable;ui/columns/purchase_returns/lines/item/visible;ui/columns/purchase_returns/lines/item/printable;ui/columns/purchase_returns/lines/item/exportable;ui/columns/purchase_returns/lines/variant/visible;ui/columns/purchase_returns/lines/variant/printable;ui/columns/purchase_returns/lines/variant/exportable;ui/columns/purchase_returns/lines/original_qty/visible;ui/columns/purchase_returns/lines/original_qty/printable;ui/columns/purchase_returns/lines/original_qty/exportable;ui/columns/purchase_returns/lines/previous_qty/visible;ui/columns/purchase_returns/lines/previous_qty/printable;ui/columns/purchase_returns/lines/previous_qty/exportable;ui/columns/purchase_returns/lines/returnable_qty/visible;ui/columns/purchase_returns/lines/returnable_qty/printable;ui/columns/purchase_returns/lines/returnable_qty/exportable;ui/columns/purchase_returns/lines/unit/visible;ui/columns/purchase_returns/lines/unit/printable;ui/columns/purchase_returns/lines/unit/exportable;ui/columns/purchase_returns/lines/qty/visible;ui/columns/purchase_returns/lines/qty/printable;ui/columns/purchase_returns/lines/qty/exportable;ui/columns/purchase_returns/lines/reason/visible;ui/columns/purchase_returns/lines/reason/printable;ui/columns/purchase_returns/lines/reason/exportable;ui/columns/purchase_returns/lines/restock/visible;ui/columns/purchase_returns/lines/restock/printable;ui/columns/purchase_returns/lines/restock/exportable;ui/columns/purchase_returns/lines/price/visible;ui/columns/purchase_returns/lines/price/printable;ui/columns/purchase_returns/lines/price/exportable;ui/columns/purchase_returns/lines/total/visible;ui/columns/purchase_returns/lines/total/printable;ui/columns/purchase_returns/lines/total/exportable;ui/columns/purchase_returns/lines/notes/visible;ui/columns/purchase_returns/lines/notes/printable;ui/columns/purchase_returns/lines/notes/exportable
columns,restaurant.kds_lines,restaurant.kds_lines,ui/columns/restaurant/kds_lines,12,ui/columns/restaurant/kds_lines/item/visible;ui/columns/restaurant/kds_lines/item/printable;ui/columns/restaurant/kds_lines/item/exportable;ui/columns/restaurant/kds_lines/qty/visible;ui/columns/restaurant/kds_lines/qty/printable;ui/columns/restaurant/kds_lines/qty/exportable;ui/columns/restaurant/kds_lines/modifiers/visible;ui/columns/restaurant/kds_lines/modifiers/printable;ui/columns/restaurant/kds_lines/modifiers/exportable;ui/columns/restaurant/kds_lines/notes/visible;ui/columns/restaurant/kds_lines/notes/printable;ui/columns/restaurant/kds_lines/notes/exportable
columns,restaurant.kds_tickets,restaurant.kds_tickets,ui/columns/restaurant/kds_tickets,18,ui/columns/restaurant/kds_tickets/ticket/visible;ui/columns/restaurant/kds_tickets/ticket/printable;ui/columns/restaurant/kds_tickets/ticket/exportable;ui/columns/restaurant/kds_tickets/table/visible;ui/columns/restaurant/kds_tickets/table/printable;ui/columns/restaurant/kds_tickets/table/exportable;ui/columns/restaurant/kds_tickets/station/visible;ui/columns/restaurant/kds_tickets/station/printable;ui/columns/restaurant/kds_tickets/station/exportable;ui/columns/restaurant/kds_tickets/line_count/visible;ui/columns/restaurant/kds_tickets/line_count/printable;ui/columns/restaurant/kds_tickets/line_count/exportable;ui/columns/restaurant/kds_tickets/status/visible;ui/columns/restaurant/kds_tickets/status/printable;ui/columns/restaurant/kds_tickets/status/exportable;ui/columns/restaurant/kds_tickets/elapsed_minutes/visible;ui/columns/restaurant/kds_tickets/elapsed_minutes/printable;ui/columns/restaurant/kds_tickets/elapsed_minutes/exportable
