check,category,path,needle,status,detail
phase_doc,doc,PHASE413_USER_PREFERENCES_PERSISTENCE.md,Phase 413,OK,
contract,contract,alrajhi_client/workspace/quality/user_preferences_persistence_contract.py,USER_PREFERENCES_PERSISTENCE_CONTRACT,OK,
service_file,service,alrajhi_client/core/services/user_preferences_service.py,class UserPreferencesService,OK,
qsettings_backend,service,alrajhi_client/core/services/user_preferences_service.py,QSettings,OK,
user_namespace,service,alrajhi_client/core/services/user_preferences_service.py,def _current_user_key,OK,
branch_namespace,service,alrajhi_client/core/services/user_preferences_service.py,def _current_branch_key,OK,
immediate_sync,service,alrajhi_client/core/services/user_preferences_service.py,self._settings.sync(),OK,
dashboard_cash_hidden_key,service,alrajhi_client/core/services/user_preferences_service.py,DASHBOARD_CASH_HIDDEN,OK,
dashboard_cash_mode_key,service,alrajhi_client/core/services/user_preferences_service.py,DASHBOARD_CASH_VIEW_MODE,OK,
dashboard_import,dashboard,alrajhi_client/views/widgets/dashboard_widget.py,from core.services.user_preferences_service import user_preferences_service,OK,
dashboard_load_hidden,dashboard,alrajhi_client/views/widgets/dashboard_widget.py,user_preferences_service.dashboard_cash_balances_hidden(),OK,
dashboard_load_mode,dashboard,alrajhi_client/views/widgets/dashboard_widget.py,user_preferences_service.dashboard_cash_view_mode(),OK,
dashboard_save_hidden,dashboard,alrajhi_client/views/widgets/dashboard_widget.py,user_preferences_service.set_dashboard_cash_balances_hidden,OK,
dashboard_save_mode,dashboard,alrajhi_client/views/widgets/dashboard_widget.py,user_preferences_service.set_dashboard_cash_view_mode,OK,
dashboard_hidden_default_false,service,derived,dashboard_cash_balances_hidden(self) -> bool,OK,
dashboard_mode_validated,service,derived,"mode in {'today', 'general'}",OK,
dashboard_not_transient_false,dashboard,derived,no transient _cash_balances_hidden = False,OK,
dashboard_initial_icon_restored,dashboard,derived,eye-slash if restored hidden,OK,
